education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,1-3年,五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利年终分红美女如云扁平管理地铁周边领导nice移动互联网电子商务,18,30K,数据仓库高级工程师,北京,1.  负责数据仓库基础平台的建设、设计、优化和落地；2.  负责数据仓库ETL流程的优化及解决ETL相关的技术问题和主题数据开发；3.  理解并合理抽象不同业务需求，做较通用和系统性的数据模型设计开发；1.  至少2年企业级数据仓库建设经验，熟悉数据仓库建模理论和方法；2.  精通Java或Python，熟悉Linux开发环境3.  有ETL开发经验，熟悉Hadoop/Hive/Spark/Storm/Kylin等大数据技术；4.  具备较强的数据分析能力、逻辑思维能力、执行能力；
本科,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补移动互联网年终分红年度旅游领导nice地铁周边互联网金融公司氛围好扁平管理,15,30K,数据仓库工程师,北京,"1.负责数据采集、清洗、转换和集成（ETL）和数据治理，解决数据处理流程中的问题2.分析保险业务数据，发现并解决数据质量问题1.本科及以上学历，3年以上数据仓库开发经验2.熟悉一种以上主流关系数据库，精通SQL，熟悉SQL性能优化3.有丰富的数据仓库系统工作经验，熟练运用ETL开发工具和BI展现工具4.熟练掌握Linux/Unix开发，shell scripting或者Python5.具有丰富的数据清洗经验6.具有快速学习，掌握新知识的能力7.具备优秀的分析解决问题能力、沟通能力和团队合作意识8.具有BI分析报表经验优先9.具有Spark, Hive等大数据经验优先力码科技是一家致力于整合保险行业供应链、提供保险销售及管理工具的互联网公司。公司研发的基于云计算和大数据的“力码云”SaaS保险平台，具有开箱即用、性价比高、安全、功能丰富等特点。公司核心人员来自业界顶尖数据团队，欢迎敢于挑战的你和来自百度大搜、IBM（加拿大）的数据大咖一起搞数据。"
本科,3-5年,五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利公司氛围好免费零食美女如云,20,40K,高级数据仓库工程师,北京,1、负责教育用户的数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；2、负责分析和解释产品试验，市场运营活动等结果，为产品改进，推广等提供数据支持；3、负责建立用户数据分析模型，针对用户行为进行数据监控和统计，发现用户行为模式与规律，为改进推荐系统提供支持。1、热爱计算机科学和互联网技术，乐于快速学习和尝试新技术、新工具；2、具备强悍的编码能力，熟练使用 SQL，熟悉 Python或R语言的优先；3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；4、熟悉至少一项分布式计算平台，例如Hadoop，Spark，Hive，Storm，Kafka 等；5、有参与开源项目对社区有贡献的经历，有大数据处理或用户行为数据分析经验者优先。
本科,5-10年,五险一金定期体检年终奖股票期权带薪年假员工旅游节日福利零食下午茶晋升空间大办公环境好五险一金定期体检年终奖股票期权带薪年假员工旅游节日福利零食下午茶晋升空间大办公环境好,25,50K,数据仓库工程师,北京,1. 负责58到家业务核心数据仓库开发工作（业务梳理、宽表建模、数据治理），实现高质量数据的互通与共享2. 负责商业智能数据报表，参与数据产品与应用的数据研发，发掘数据商业价值3.业务实时数据的处理和统计，提供高质量数据接口1. 扎实的数据仓库理论基础，熟悉数据仓库模型设计，应用层建设有实践经验2. 熟悉仓库建设相关的技术栈，例如：SQL，Hive，Hadoop/Spark，Flume，Kafaka等3. 掌握数据库开发技术，具备海量数据加工处理（ETL）相关经验，有数据库建模经验，灵活运用SQL实现数据ETL加工处理4. 具备代码开发能力，熟练掌握Java、Scala、Python等至少1种语言5. 有互联网行业数据仓库经验者优先」6、  熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台；7、有搜索、广告、推荐、运力调度算法相关经验者优先
本科,5-10年,,40,70K,数据仓库架构师,北京,1、负责数据仓库和数据中台建设，支持部门级的BI与统计应用在业务场景上的落地，包括但不限于部门数据仓库的建设、埋点采集、统计应用、数据在业务中的场景挖掘、基础工具与流程建设等；2、参与数据治理工作，提升数据易用性及数据质量；3、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作；4、负责内部数据分析产品研发5、对大数据和机器学习相关的前沿技术进行预研，负责大数据平台技术框架的选型和技术难点公关；1、本科以上学历，5年以上大数据平台架构经验；2、负责过大型数据平台或者数据仓库设计，具有扎实的大数据和数据仓库的理论功底；3、熟练掌握java或scala开发语言，熟悉springMVC、MyBatis架构；熟悉Linux开发环境，了解shell、python等脚本语言开发；有jvm调优经验者优先；4、对Hadoop的大数据体系有深入认识，对Hadoop/Hive/Hbase/Kafka/Spark/Flume/Flink/Azkaban /Zookeeper/ES/Solar/Storm等有实际应用研发经验，读过关键源码为佳；5、熟练使用统计型SQL，有较好的数据模型设计能力，理解Hive/Mysql基本原理和调优策略；6/具备一定的算法知识，有机器学习、数据统计分析、后端工程经验者优先；
本科,5-10年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假免费班车餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖股票期权带薪年假免费班车餐补节日福利零食下午茶,15,30K,数据仓库资深工程师,北京,工资面议主要负责金融行业数据仓库项目的建模工作。1. 计算机、软件工程等相关专业，统招大学本科及以上学历；2. 7年以上数据仓库行业从业工作经验，至少有3年以上银行数据仓库模型师从业经验；3. 精通数据仓库理论，精通主流的数据仓库数据模型设计，具有丰富的数据仓库数据模型架构和设计项目经验；4. 熟悉主流数据库Oracle、DB2、SQL Server、mysql等数据库中一种；熟练使用erwin、powerdesigner等建模工具；5. 具备优秀的表达能力和沟通协调能力，能够统筹全局，具备较强的分析问题和解决问题的能力，有良好的团队协作意识；6. 能出差；7. 工作地点：北京。
本科,1-3年,五险一金补充医疗保险加班补助全勤奖带薪年假员工旅游五险一金补充医疗保险加班补助全勤奖带薪年假员工旅游,13,25K,数据仓库,北京,1、分主题建设数据仓库；2、为上层业务提供数据服务；3、基于海量数据，对用户和商户进行画像模型设计;1、统招本科及以上学历，计算机相关专业;2、熟悉数据仓库建模理论，了解数据仓库数据分层架构、多维数据模型设计，有2年以上的实际工作经验;3、熟悉Hadoop / Spark / Hive ，熟练掌握HQL，有HIVE、Spark Sql使用经验者优先;4、熟悉Linux开发环境，熟悉至少1种脚本语言(Python / Awk等);5、优秀的逻辑思维能 、业务需求分析能力和执行力，较好的沟通能力;
本科,5-10年,五险一金补充医疗保险年终奖带薪年假节日福利五险一金补充医疗保险年终奖带薪年假节日福利免费三餐互联网金融牛人团队不打卡扁平管理,25,30K,资深数据仓库工程师,北京,工作职责:1、负责业务相关数据需求以及报表的开发；2、负责将产品和运营的需求，转化成数据模型，并生成报表数据；3、参与企业数据仓库架构设计与数据开发；1、熟悉数据仓库各类模型建模理论；2、具有数据仓库模型设计、ETL相关工作经验；3、熟悉hive、MySQL、Postgresql、Oracle、Greenplum等至少一种主流数据库技术，有较好的SQL开发能力；4、精通SQL，有较好的SQL性能调优经验；5、快速的业务学习能力和良好的逻辑分析能力，具有良好的数据理解能力和数据敏感性；6、计算机相关基础知识扎实，对解决技术难点有热情，能独立解决问题；7、有3个以上DW/BI项目设计和开发经验者优先；8、熟练掌握tableau报表开发，优先考虑；这是一个年轻充满激情与无限可能的团队。
本科,经验不限,五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶公司氛围好移动互联网云计算,20,40K,数据仓库工程师　,北京,—负责企业级仓库建设、数据挖掘方向特征工程—负责ETL系统、数据仓库存储与计算体系建设—负责企业大财务方向、人力资源方向数据分析模型建设1、从事数据仓库或大数据领域相关开发2年及以上；2、熟悉HDFS/Hive/Hbase/Spark等Hadoop生态技术；3、熟悉scala、python、sql/plsql开发中的一种或多种；4、有数据采集、大数据处理、数据仓库建模、ETL系统设计等相关开发或优化经验；5、熟悉BI系统，有OLAP开发或数据分析相关经验者优先；6、熟悉Oralce体系，有Oracle相关优化经验、了解Oracle exadata优先；7、务实自驱、热爱数据、喜欢钻研、有良好的沟通与团队协作能力；
本科,5-10年,五险一金员工旅游零食下午茶五险一金员工旅游零食下午茶互联网金融扁平管理领导nice,30,60K,数据仓库工程师,北京,"1、本科及以上学历，计算机、通信等相关专业；2、具有数据仓库的基本概念，了解相关的技术体系;3、有扎实的编程能力, 熟悉sql，python，hadoop, hive，spark等；4、对数据敏感，善于从数据中发现疑点；5、有大数据处理经验者优先；"
