education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高领导nice地铁周边年终分红公司氛围好,20,40K,数据挖掘工程师,北京,"１.负责抓取电商或者短视频方向的网站数据，分析链接，转码等；2.负责维护抓取程序的监控和报警，并且快速修复问题；3.负责和业务沟通抓取需求，满足业务的发展需求。1.本科或以上，计算机软件或相关专业毕业；2.扎实的编程能力，熟悉算法和数据结构，熟悉计算机的基础理论；3.有强烈上进心，自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越；4.工作细致、责任心强，具备较强的学习能力及理解能力，有良好的沟通能力和团队协作能力；5.理解http，熟悉html, DOM, xpath, scrapy优先；6.有爬虫、信息抽取、文本分类相关经验者优先。"
本科,1-3年,五险一金补充医疗保险定期体检五险一金补充医疗保险定期体检扁平管理移动互联网带薪年假五险一金弹性工作试用期全额领导nice不打卡,10,15K,数据挖掘,北京,"1. 负责自然语言处理、深度学习在海量文本处理及挖掘中的应用，包括信息抽取，主题发现，文本相关度模型，知识图谱构建，文本摘要等；2. 负责深度学习在机器人对话领域的工作，包括用户问答意图分析，上下文对话理解，知识图谱，任务型/闲聊机器人等。1. 从事过任务型/闲聊/问答机器人或nlp相关项目，可以独立开展项目工作，有一定的抗压能力；2. 熟悉机器学习、自然语言基础算法，有深度学习项目经验者优先；3. 熟悉NLP领域一些开源的算法库或工具，比如：tensorflow(keras)，stanfordNLP，NLTK，ApacheOpenNLP，Kaldi, mahout, word2vec等；4. 有文本分类，舆情/情感分析、知识图谱，问答系统，自然语言处理、深度学习，人工智能、海量数据处理与挖掘经验优先；5. 良好的团队合作精神，较强的沟通能力。管理团队均来自世界五百强企业，具有国际视野，结果导向，团队氛围轻松和睦。官网 www.naxions.com"
本科,经验不限,五险一金补充医疗保险定期体检年终奖带薪年假免费班车餐补通讯补贴节日福利五险一金补充医疗保险定期体检年终奖带薪年假免费班车餐补通讯补贴节日福利公司氛围好分析场景多,12,24K,数据挖掘,北京,数据挖掘 帮助业务通过数据驱动业务创新需要良好的沟通以及数据敏感性数学 统计 计算机均可英语流利可以上手建模，python R 均可应用场景丰富个性积极向上，有活力
硕士,3-5年,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游节日福利零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假员工旅游节日福利零食下午茶,30,60K,数据挖掘工程师或专家,北京,1、从事互联网领域金融，健康等产品中数据挖掘和数学建模的实施工作与咨询顾问服务；2、负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究，特定工程的数据挖掘模型的需求分析、建模、实验模拟；3、负责指导软件开发工程师进行数据挖掘系统的开发，包括需求分析、系统设计、系统测试和优化；4、负责研究成果在公司内的推广应用，以及对外对内合作交流，不断提升公司的技术、分析和营销能力；5、针对营销理论、消费者的消费行为数据结合数据挖掘领域的特点进行综合全面的业务逻辑架构及系统架构设计。2、有数据分析研究经验，并深入理解常见的数据挖掘、机器学习、深度学习算法原理；3、能熟练使用至少一款（如：Python、R、java、C++、Scala等）常见的编程语言；4、理解常用数据结构和算法，能根据具体情况灵活应用，了解海量数据处理，有使用Hive/Spark SQL分析海量数据的能力和经验；5、具有强烈的好奇心和自学能力，优秀的分析和解决问题的能力，对于创新技术或挑战性课题有强烈的探索意愿和深入研究热情；6、有扎实的统计分析基础，有数学竞赛经验，有互联网和金融企业大数据实践经验。
本科,5-10年,带薪年假公司氛围好领导nice移动互联网地铁周边车联网年度旅游免费零食带薪年假公司氛围好领导nice移动互联网地铁周边车联网年度旅游免费零食带薪年假公司氛围好领导nice移动互联网地铁周边车联网年度旅游免费零食,30,50K,数据挖掘经理,北京,1、基于车联网海量数据，发现车联网数据规律，挖掘车联网数据价值并建立分析模型；2、对车联网海量数据进行提炼、分析、归纳用户/车辆属性、行为等信息，输出分析报告；3、配合大数据平台，对于上线模型进行工程化代码实现或建议；4、根据业务形态和分析，逐渐积累可供业务产品使用的数据模型逻辑，推进产品实施，确保产品不断完善；1、具有5-10年数据分析、数据挖掘、数据可视化等相关经验；2、熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验；3、熟练使用SQL访问和处理数据系统中的数据，掌握R语言/Python等任意一种数据分析语言。4、了解常用分布式计算和存储框架hadoop/HDFS/Hive/Spark等，具备相关项目经验优先；5、对时空数据、轨迹数据、地理信息数据感兴趣及有经验者优先；6、有车联网驾驶行为分析挖掘经验优先，能够在压力下工作。；数据建模、数据挖掘、数据分析（统计学、数学、计算机、生物统计等相关专业背景）公司于2011年6月在北京成立，是一家专注于前装车联网大数据价值创造的服务运营公司，公司整合前装车厂及第三方数据提供商的数据资源，通过大数据分析和挖掘建模，向车厂、保险公司及第三方机构提供创新型产品及个性化服务。
硕士,1-3年,五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶,20,40K,数据挖掘工程师,北京,工作职责：1. 深入了解零售和供应链业务，洞察业务中的核心痛点和改善机会，设计研究解决方案。2. 基于Hadoop、Spark进行数据清洗、数据整理以及机器学习建模。2. 跨团队合作搭建京东新一代供应链优化体系。1. 2年以上的数据挖掘相关经验。2. 对Hadoop、Spark等大数据技术有深入了解，具有大数据处理的能力。3. 熟悉机器学习相关算法，具有运用算法解决业务问题的能力。4. 良好的沟通、表达和团队协作能力，较强的动手能力与逻辑分析能力。5. 熟练使用Linux系统，对Python/Java/R有一定了解。
本科,1-3年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游节日福利五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游节日福利,25,50K,数据挖掘,北京,数据挖掘相关算法开发负责产品推荐，数据挖掘，理赔流程优化的研发和优化工作1.扎实的编程基础，必须掌握python或java2.良好的数学和算法基础优先，知识图谱，机器学习，自然语言处理算法；3. 聪明好学，积极主动，立志于从事算法和数据挖掘行业相关工作待遇：20--60K*15  + 期权，上不封顶简历请发送至 ***** 欢迎推荐
本科,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险带薪年假年度旅游扁平管理领导nice地铁周边公司氛围好,30,60K,数据挖掘工程师,北京,"1.Boss直聘APP线上服务主要目标是：给招聘者，求职者匹配最合适的候选人，匹配主要是通过推荐服务完成的；2.本岗位负责：推荐系统开发中所涉及的数据清洗，特征工程流程优化、维护，团队常用工具开发，大数据算法平台建设；3.目标是确保研究数据准确率，提升团队工作效率，降低重复性工作，建设高质量的算法研究平台。1.计算机、相关专业统招本科及以上学历；2.具备扎实的工程开发能力，业务目标转化为代码的能力；3.工作耐心，思维缜密，团队合作性较高；4.熟练掌握sql,python,shell,java中的一到两种语言。Boss直聘商业化推荐平台，这里有世界上最奇妙的Boss与Geek的数据等你来挖掘，有最具挑战力的人与人的双向匹配场景，有BAT大牛齐聚的开放共享的技术氛围，有一群让人们工作更好而不懈努力的极客。"
本科,5-10年,五险一金带薪年假零食下午茶五险一金带薪年假零食下午茶美女如云扁平管理地铁周边领导nice移动互联网免费零食带薪年假公司氛围好,20,40K,数据挖掘,北京,数据科学家1、运用数据挖掘或统计建模的方法，从数据中发现有用信息，解决实际问题；2、深入理解产品业务的方向和战略，通过数据分析、挖掘，为业务部门提供决策支持；3、设计开发数据分析相关的系统工具。1、大学本科及以上学历，5年以上数据分析或开发经验；2、熟练掌握Python或Java等语言，熟悉MySQL，有hadoop开发经验优先；3、具有扎实的计算机和机器学习背景；4、具有商业敏感度，深入理解数据处理过程及相关业务场景；5、有快速学习能力及创新精神，做事仔细认真，善于团队合作；
学历不限,1-3年,五险一金补充医疗保险定期体检带薪年假节日福利五险一金补充医疗保险定期体检带薪年假节日福利,20,28K,数据挖掘,北京,1.岗位介绍1）  运用数据挖掘各类算法自主构建相关的业务模型2）  基于业务场景及数据情况发现业务规律，并能根据实际情况编写数据分析报告3）  协助运营团队与客户交流，向客户展示方案与产品，取得客户对公司及服务的认可2.岗位要求：1）  计算机相关专业、数学专业本科及以上学历；2）  具有较强的业务分析、数据建模能力，熟练使用SQL、R、Python等数据挖掘工具者优先；3）  熟练掌握数据分析模型的建立，并能够对业务方案进行总体把控；4）  有用户行为、兴趣建模、用户画像等相关经验者优先，有数据仓库项目实施经验者优先；5）  有较强的学习能力和自我驱动动力，主动学习钻研新的工具与技术；6）  有良好的沟通能力，能与团队共同进步；3、公司待遇1）  根据个人能力定薪2）  北京市社保，五险一金3）  充满人文气息的工作环境4）  晋升空间大5）  豪华团队建设6）  有机会参加股权激励计划，分享公司成长红利4.针对应届生1）  为应届毕业生提供宿舍。
