education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,5-10年,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车餐补交通补助包吃节日福利五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车餐补交通补助包吃节日福利股票期权公司氛围好带薪年假领导nice移动互联网年终分红扁平管理免费零食,40,70K·15薪,推荐算法研究员,北京,-大数据量的用户行为数据的处理、清洗和挖掘，并持续迭代优化推荐策略-从数据中发现现有系统和算法的不足，提出改进的算法并推动实现-追踪业内前沿技术，结合业务特点，探索将前沿的算法技术应用于实际业务-精通Java/C++/Python/perl（精通任意一种语言即可），有2年以上数据挖掘的经验-较好的数据挖掘、个性化推荐或自然语言处理经验，熟悉常用的机器学习算法-有较多的程序开发经验，对数据结构和算法知识应用熟练；有大数据处理经验者更佳；-良好的沟通和推动能力，主动性强，对个性化推荐有一定的兴趣
硕士,1年以内,五险一金定期体检年终奖带薪年假餐补通讯补贴交通补助节日福利五险一金定期体检年终奖带薪年假餐补通讯补贴交通补助节日福利不打卡免费零食地铁周边领导nice公司氛围好,20,40K,算法研究员,北京,负责人工智能  自然语言  图像处理  机器人控制  嵌入式等前沿技术研究，完成公司课题研究。构建华戎超级智能大脑系统
博士,应届生,领导nice不打卡地铁周边公司氛围好股票期权人工智能前景行业技术大牛领导nice不打卡地铁周边公司氛围好股票期权人工智能前景行业技术大牛领导nice不打卡地铁周边公司氛围好股票期权人工智能前景行业技术大牛,25,40K,算法研究员,北京,"1、研究深度学习或计算机视觉各个领域中核心算法；2、模型的设计和训练调优，展开深度学习相关领域研究和开发工作；3、负责对已有系统图形图像处理算法的提升；4、负责相关算法的核心代码实现。1、数学、模式识别、3D重建等相关专业，博士以上学历，应届生优先；2、在深度学习领域有一定理论基础；熟悉CNN,RNN/LSTM等基本深度学习算法。熟悉常用深度学习框架Caffe/Mxnet/TF中的一种，最好是有改各种框架代码的经验。3、熟悉图像处理基本知识；4、熟悉Linux日常使用和C/C++编程，精通常见算法和数据结构；5、善于解决和分析问题，富有想象力和学习能力，有良好的团队合作精神；6. 在深度学习相关方向知名国际会议发表过论文者优先；7、熟练阅读相关英文论文和专利，并能快速编程实。团队技术层面，我们的团队技术团队实力强大，团队成员来自于微软、中科院、北大、清华等知名研究机构或公司，拥有世界级领先的视觉智能交互技术。其次，我们的团队在商业领域有着丰富的运作经验，对B2B市场有着深刻的理解。我们作为3D视觉交互领域的先行者与引领者，已获得行业巨头和国际厂商的认可。"
硕士,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利,30,55K,算法研究员,北京,"? 有非常强的业务模型抽象能力，可以将业务模型抽象成为数据模型建模，并能选择性能较好的机器学习模型学习落地；? 能够基于地图积累的大数据，为了业务目标，负责设计和应用机器学习、深度学习算法，完成数据清洗、样本去噪、特征选取分析、模型建立和预估实现等整个流程；? 对地图和导航具有一定的看法，能够从问题中提取优化点和工作内容，配合部门目标高效开展工作；? 使用阿里大数据平台和算法工具完成模型的工程化，并与业务部门沟通合作，将数据模型应用于实际业务；? 熟知人工智能的各个领域，如自然语言处理，预测，图像处理等；1、计算机或相关专业本科以上学历；2、熟悉大规模数据挖掘、机器学习、自然语言处理等相关技术，并具备3年及以上实际工作经验；3、熟悉Hadoop/Storm/Spark，熟悉mapreduce hive 等分布式数据处理，具有良好的编程习惯；4、有良好的沟通表达能力和团队合作精神，热衷技术，乐于寻求挑战和突破自我；5、责任心强, 能承受一定工作压力, 有较强的学习能力；"
博士,5-10年,五险一金年终奖带薪年假五险一金年终奖带薪年假,70,100K,算法研究总监,北京,1、分解公司战略，带领算法科学家团队，建立算法模型为管理层提供决策支持2、负责日销、活动及大促等多种场景下的销量预测、订单量预测、进货量预测和进货策略优化，指导自动化补货，提升供应链效率；3、负责分析、挖掘并指导货品优化、新品引入、智能定价等场景，提升供应链整体收益；4、统筹智能供应链中的多种业务场景，抽象并沉淀通用解决方案，快速支持业务发展专业知识/技能要求：1.博士研究生以上学历，统计、运筹、数学或计算机相关专业2.精通常用的机器学习算法及深度学习算法，深入理解算法细节，有应用相关算法解决实际问题的经验3.有大规模数据分析、数据挖掘和建模经验，能独立进行业务问题的抽象、分解及建模优化4.有销量预测、智能补货、订单分配、动态规划及智能定价等相关工作经验者优先
本科,1-3年,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补节日福利五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补节日福利快速成长薪资给力公司氛围好带薪年假分享氛围好地铁周边股票期权,25,45K,算法研究员,北京,利用机器学习/深度学习方法，优化搜索场景下自然语言的查询理解，召回，排序，内容理解任务，提升排序效果能力要求:1. 在机器学习/深度学习/自然语言处理，至少其中一方面，拥有扎实的理论基础或丰富的实践经验。2. 熟练使用至少一门编程语言 c/ c++/ java/ python，熟悉linux工作环境3. 聪明，有创新能力，良好的沟通技巧4. 喜欢前沿技术，工作投入度高1. 创新，学习与分享的良好氛围，优秀的同事，简单的人际关系，高比例的创新与前沿的技术实践。2. 阿里大平台，并拥有成熟的搜索推荐产品承托前沿人工智能技术。包括丰富的标注数据，亿级流量和用户，成熟的商业化变现支持。3. 有挑战力的任务，相对灵活和自由的业务分配，全面的锻炼和成长，未来新的可能。
硕士,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利股票期权带薪年假年度旅游扁平管理地铁周边公司氛围好不打卡美女如云,25,50K,商业搜索广告算法研究员,北京,"项目介绍：搜索部门作为搜狗商业的核心部门，拥有业内优秀的产品、技术团队，能够给你足够的成长空间，让你学习到更多的业内知识，创造出值得炫耀的PC搜索商业产品。 搜狗PC搜索收入在保持持续增长，流量与品牌渗透率均位居行业前列。在激烈的环境下，我们将继续努力，不断创新，扩大对行业、客户的影响力，保持搜狗商业收入持续增长。 轻松务实的团队氛围，自由的工作环境，完善的培训体系，和聪明人一起工作，丰富多彩的俱乐部活动，能给优秀的你更大的舞台。  如果你正在追梦的路上，就来搜狗商业搜索吧！1、负责搜狗无线广告投放系统的变现能力提升及收入稳定性保障2、主要方向：无线搜索广告技术研发，包括广告检索、排序、CTR预估模型研究等3、将业界前言技术（深度学习等）应用于线上系统，提升收益1.计算机或相关专业硕士以上学历，工作一年以上2.熟悉大规模数据挖掘、机器学习、自然语言处理、点击率预估中一项或多项技术,并具备实际工作经验3.熟练掌握C++，熟悉python、php、shell中任意一门脚本语言负责搜狗语音、搜索和营销招聘工作。推荐算法、广告算法、深度学习、深度学习开发、NLP、C++、产品、测试开发、语音合成、语音识别、加码器开发、麦克风阵列等需求不限。微信：278352909   邮箱：*****-inc.com"
硕士,3-5年,五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶AI人工智能领导nice薪资竞争力强扁平管理公司氛围好股票期权,30,60K·15薪,算法研究员,北京,"工作职责:1、进行计算机视觉深度学习/机器学习算法设计、研发、迭代等工作2、领导与推动一个或多个研究项目，进行算法的创新设计和实现，保持算法在学术界和工业界的领先；研究，重现和对比最前沿的算法3、推动计算机视觉相关算法在众多应用领域的性能优化4、与团队合作共同完成相关项目的落地1、本科及以上学历，计算机、电子信息或软件等相关专业2、具有计算机视觉，机器学习优化算法基础，数据挖掘或人工智能的相关经验3、熟练使用C/C++、python中至少一种编程语言；掌握caffe、tensorflow、pytorch等深度学习框架之一；4、具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；满足以下条件者优先：1、行业内相关的实习、高校实验室、研究所研究经验、以及工作经验2、有较强的研究能力，可以进行算法研究的创新设计和实现3、有与机器学习研究相关的开源项目的贡献背景；4、在国际顶尖会议或期刊发表机器学习相关论文 (包括但不限于CVPR, ICCV, ECCV, NIPS, ICML, ICLR, AAAI)5、有参加过ACM-ICPC/SC-SCC等竞赛的经验；有机器学习相关的比赛经验者或在重要数据集的排行榜上排名靠前的优先，包括ImageNet等相关竞赛、Kaggle等一些国内外商业比赛6、具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；7、博士学历（计算机科学，电子信息等），重点实验室经历，以及相关技术领域同等实践经验者优先考虑作为全球领先的人工智能平台公司，商汤科技SenseTime为中国科技部指定的国家新一代人工智能“智能视觉”开放创新平台（其它四个国家AI平台分别为百度、阿里云、腾讯、科大讯飞公司）。同时，商汤科技也是“全球最具价值的AI创新企业”， 公司总融资额超过16亿美元，估值超过45亿美元。"
本科,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险带薪年假年度旅游扁平管理地铁周边领导nice公司氛围好移动互联网股票期权,30,50K,高级算法研究员,北京,"1.Boss直聘APP线上服务目标是：给招聘者，求职者匹配最合适的候选人；匹配主要是通过推荐服务完成的。2.本岗位具体负责行业特有的招聘求职双向个性化推荐系统的研究3.具体来说：（1）通过自己的学识，经验，以及对数据的观察，处理，研究，为推荐服务提供行之有效的算法策略。（2）能够独自或者带人，生产对求职双方匹配有价值的特征、算法、策略，完成对推荐服务的优化。4.优化目标是深入研究招聘双方的多样化的需求，打造引领行业的招聘/求职匹配能力，大幅提升求职招聘双方的NPS(满意度)1.计算机、数学、物理等相关专业统招硕士及以上学历2.有过长期的对于推荐系统/搜索系统/广告系统或者其他算法平台研究的经验3.熟悉各种机器学习/深度学习/NLP 算法，有能力追踪行业前沿的AI研究动态。4.熟练掌握sql,python,shell,java中的一到两种语言1.Boss直聘数据质量高，内容丰富，用户行为多，数据量大，是大数据工作者的天堂2.整个APP服务由算法驱动，公司高层对算法的支持和理解到位，相信算法内核是造成行业壁垒的内核因子3.团队缺少高级研究人员，对于真正有能力的人，发展空间大，可以不拘一格提拔。4.公司有健身房，食堂正在筹备中，员工福利好，工作氛围轻松产品【kanzhun.com 】“公司大众点评网”，国内最大企业画像数据库产品【Boss直聘】，基于移动和机器学习的新招聘平台产品【店长直聘】，城市服务业第一直聘App有竞争力的工资。尊重技术产品的公司。证明单一领域机器比人牛逼已过时，让机器帮人干点正事。"
硕士,经验不限,五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶,20,40K,深度学习算法研究员,北京,"工作职责：1. 研究前沿大数据深度学习、机器学习算法2. 为业务需求设计解决方案，模型构建、部署和监控，持续给出优化、升级方案3. 跟踪技术发展，发掘新技术的应用场景1. 计算机、机器学习等相关专业背景，本科及以上学历，硕士和博士优先；2. 熟悉Linux开发环境，具有优秀的代码能力3. 扎实的数学、机器学习、数据挖掘和深度学习基础4. 满足以下一个或多个条件a) 非常熟悉至少一种主流深度学习算法框架, 包括但不限于PyTorch, Tensorflow, MXNet, Keras等；b) 熟悉互联网金融、推荐、广告、搜索等各类算法；c) 大数据处理经验;d) 大规模机器学习算法实现；5. 积极主动，优秀的分析问题和解决问题能力；6. 具有良好的沟通表达能力，具备较强的团队合作意识。"
本科,经验不限,五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶,25,40K,算法工程师/算法研究员,北京,1. 结合大数据及智能供应链场景，应用机器学习、深度学习、自然语言处理、统计学习等技术解决实际问题，如：行业趋势预测、文本分类、知识图谱、图像匹配、摘要生成、微博传播分析等；2、基于海量的电商商品、社交媒体、新闻论坛等数据，通过分析和挖掘，给出有价值的解决方案，并协助实现算法的工程化及产品化；3、关注机器学习、深度学习、自然语言处理等领域的最新研究进展，追踪、调研前沿动态，并将业内最新的技术和方法合理地运用到实际产品中，后续做针对性地优化。1. 计算机、数学、统计学、自然语言处理、机器学习、模式识别、图像算法、运筹优化等相关领域的硕士及以上；2、熟悉常用的机器学习/深度学习算法及原理，包括但不限于逻辑回归、SVM、决策树、随机森林、CNN、RNN/LSTM等；3、在模型算法应用和优化方面有一定的经验，有基于分布式平台上算法实现经验者优先考虑；4、熟练掌握常用的编程语言，如：Python、C++、Java、R、Spark等；5、有较强的英文文献阅读、理解及写作能力。
硕士,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险公司氛围好带薪年假股票期权地铁周边领导nice扁平管理,30,50K,高级算法研究员,北京,"1.Boss直聘APP线上服务目标是：给招聘者，求职者匹配最合适的候选人；匹配主要是通过推荐服务完成的。2.本岗位具体负责行业特有的招聘求职双向个性化推荐系统的研究3.具体来说：（1）通过自己的学识，经验，以及对数据的观察，处理，研究，为推荐服务提供行之有效的算法策略。（2）能够独自或者带人，生产对求职双方匹配有价值的特征、算法、策略，完成对推荐服务的优化。4.优化目标是深入研究招聘双方的多样化的需求，打造引领行业的招聘/求职匹配能力，大幅提升求职招聘双方的NPS(满意度)1.计算机、数学、物理等相关专业统招硕士及以上学历2.有过长期的对于推荐系统/搜索系统/广告系统或者其他算法平台研究的经验3.熟悉各种机器学习/深度学习/NLP 算法，有能力追踪行业前沿的AI研究动态。4.熟练掌握sql,python,shell,java中的一到两种语言1.Boss直聘数据质量高，内容丰富，用户行为多，数据量大，是大数据工作者的天堂2.整个APP服务由算法驱动，公司高层对算法的支持和理解到位，相信算法内核是造成行业壁垒的内核因子3.团队缺少高级研究人员，对于真正有能力的人，发展空间大，可以不拘一格提拔。4.公司有健身房，食堂正在筹备中，员工福利好，工作氛围轻松"
