education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,5-10年,五险一金补充医疗保险定期体检年终奖带薪年假节日福利五险一金补充医疗保险定期体检年终奖带薪年假节日福利,25,35K,银行数仓ETL工程师,北京,-负责针对银行交易数据、客户行为数据进行分析挖掘，支持营销活动；-负责构建数据分析模型，挖掘用户需求，以支持商业银行精准营销；-运维大数据业务集群(Hadoop / Hbase / Hive / Presto / Yarn / Spark / Storm / Kafka / Elasticsearch / Flume等)确保高可用-计算机或相关专业，本科及以上学历；-5年以上数据开发经验，精通SQL或hive编程；-熟悉Hadoop生态；-熟悉Linux，熟练掌握Java等语言；-有商业银行数据仓库建设经验优先-有大数据开发开发经验者优先；-具有较强的沟通协调能力。
本科,3-5年,五险一金补充医疗保险定期体检年终奖餐补通讯补贴交通补助节日福利五险一金补充医疗保险定期体检年终奖餐补通讯补贴交通补助节日福利带薪年假公司氛围好领导nice地铁周边年终分红,8,15K,ETL开发工程师,北京,1、参与BI相关应用项目的ETL设计、开发、维护工作；2、参与ETL调度架构的开发优化工作；3、与团队内部以及需求部门进行有效沟通，跟进项目进度以及解决相关数据问题。4、完成上级主管分配的工作任务，并达到公司制度规定的考核要求。要求：1、统招专科以上学历，至少有1年以上ETL开发经验；2、精通shell脚本编程，熟悉JAVA开发优先；3、熟悉DB2等至少一种主流数据库，精通标准SQL编写与调优，有大数据量处理经验更佳；4、有较好的沟通理解能力，态度端正、工作积极认真，能有所担当；5、能独立完成项目的设计与开发工作，有一定的数据建模经验
本科,3-5年,五险一金加班补助带薪年假餐补零食下午茶五险一金加班补助带薪年假餐补零食下午茶带薪年假扁平管理领导nice移动互联网电子商务互联网金融公司氛围好,18,30K,ETL开发工程师(006474),北京,数据仓库的etl实施，etl性能优化以及相关技术问题的解决满足业务方的数据需求，提供面向业务的olap 报表 数据提取等数据服务熟悉数据仓库建模理论熟悉hadoop hive spark等大数据技术熟练使用python/java或其他语言进行业务逻辑的数据处理工作，具备海量数据处理以及性能优化的能力对mysql redis hbase等数据库有一定的了解和使用经验踏实、好学、较强的沟通能力，良好的团队协作精神，对海量数据处理和分析有热情有机器学习和推荐系统的经验优先技术大牛云集，团队气氛好
本科,3-5年,,13,19K,ETL工程师,北京,"1. 2年以上业务分析经验2. 3年以上MS BI 开发经验3. 数据仓库设计与实施 – 精通4. SQL Server 2008R2/2012/2016 Integration Service (SSIS) – 精通5. SQL Server 2008R2/2012/2016 Analysis Services (SSAS) – 精通6. SQL Server 2008R2/2012/2016 Reporting Service (SSRS) – 精通7. T-SQL 创建与调优 – 精通8. MDX – 精通9. 数据质量管理 – 精通10. OLTP Data Modeling - 精通11. Ad-hoc Reporting – 精通12. Indexing Mechanism – 掌握13. Data Mining – 掌握14. Sharepoint BI, PowerPivot, PowerView, PivotTable, PPS – 精通15. Big Data, Columnar Databases, Mobile BI – 熟练16. C/C++/C#, .Net 框架 – 熟练17. 英语读写ok，能说最好18.工作地点北京望京，汽车行业，入职时间4月中旬"
硕士,3-5年,五险一金定期体检年终奖带薪年假餐补通讯补贴交通补助节日福利五险一金定期体检年终奖带薪年假餐补通讯补贴交通补助节日福利移动互联网免费零食公司氛围好年度旅游带薪年假领导nice,15,22K,ETL工程师,北京,薪资面议1.使用ETL工具对源系统数据进行清洗、加工、转换、加载至目标数据库2.编写存储过程并对其进行优化处理3. 负责重点关注数据处理及相关报表开发；4. 完成领导交办的其它任务团队骨干主要由博士学历的众多牛人等组成，团队成员多为为硕博，很多曾在大型互联网公司任职过，我们的团队牛人多多，工作其乐融融，互帮互助，加入我们，您一定能有所收获，此为您的不二选择！
本科,经验不限,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游交通补助五险一金补充医疗保险定期体检年终奖带薪年假员工旅游交通补助带薪年假地铁周边电子商务互联网金融领导nice公司氛围好,10,15K,ETL工程师,北京,1年以上数据平台/数据仓库/数据集市工作经验，需要有一年以上保险行业经验，对保险业务了解者优先IT解决方案，年轻的团队，期待你的加入------新致大家庭
本科,经验不限,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车餐补通讯补贴五险一金补充医疗保险定期体检年终奖带薪年假员工旅游免费班车餐补通讯补贴,12,24K,ETL工程师,北京,"技能要求：1、2年以上ETL开发的工作经历2、熟悉ETL数据加工流程3、熟练掌握Oracle，DB2数据开发4、熟悉PowerDesigner/ERWin等建模工具5、熟悉LINUX操作系统6、有存款、贷款、银行卡、总账等银行业务知识者优先7、掌握主流ETL工具，例如DataStage、Shell、存储过程等。工作职责：参与ods,数据仓库，报表平台，监管报送，对公CRM，零售CRM，风险等项目的数据分析，和ETL开发工作其他说明：要求认真，细心，稳定，踏实，有责任心，愿意从事金融IT相关工作。"
本科,3-5年,五险一金补充医疗保险年终奖员工旅游五险一金补充医疗保险年终奖员工旅游,8,12K,ETL工程师,北京,1）从事etl开发工作1到3年左右2）能够熟练运用一种或多种数据库（例如：oracle，db2，mysql，greenplum等）3）熟悉hadoop，有使用hdfs 、hive使用经验。4）有参与ods等大数据平台经验者优先5）熟悉linux等操作系统6）至少会一种脚本语言（例如：shell，perl，pl/sql等）7）学习能力强，拥有优秀的逻辑思维能力，强烈的责任心和团队合作精神
本科,3-5年,五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴交通补助包吃节日福利五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴交通补助包吃节日福利带薪年假年度旅游地铁周边领导nice管理规范互联网金融扁平管理,20,30K,ETL工程师,北京,1、负责数据仓库、数据集市的主题模型设计和宽表开发工作。2、负责数据分析的需求设计和开发，承担数据抽取、清洗、转化等数据处理。3、负责BI平台数据分析、报表开发工作。4、负责海量数据场景下的性能优化。1、基本要求：统招本科及以上学历，统计、金融数学、信息管理、自动化、计算机等相关专业。2、工作经验：3年及以上的数据分析、建模经验；有银行业或消费金融行业从业经验。3、知识技能：（1） 精通SQL及相关ETL工具，熟练使用Oracle等关系型数据库以及性能调优。（2）熟练掌握大数据处理技术（Hadoop、Spark等），有实际项目使用经验。（3）了解数据库的常用组件。（4）熟练掌握Python，R等语言，有大型项目开发经验。（5） 具有良好的编程习惯和文档编写习惯。4、素质要求：较强的分析问题与解决问题的能力；有良好的计划和执行力、沟通理解能力、组织和协调能力，勤于思考。公司于2016年底成立，是河南省首家获得中国银监会批准成立的消费金融公司，是由中原银行股份有限公司作为主要出资人，联合上海伊千网络信息技术有限公司共同在豫发起设立的全国性非银行金融机构。热忱欢迎有志于投身消费金融领域的优秀人才加入我们，我公司将为您提供丰厚的薪资待遇和广阔的发展平台!
本科,3-5年,移动互联网地铁周边互联网金融智能硬件移动广告扁平管理年终分红股票期权移动互联网地铁周边互联网金融智能硬件移动广告扁平管理年终分红股票期权移动互联网地铁周边互联网金融智能硬件移动广告扁平管理年终分红股票期权,20,40K,ETL工程师,北京,1.负责数据库管理维护，监控及性能优化；2.负责数据库运维标准化，规范化；3.配合公司产品和项目数据库架构设计；4.前瞻性数据库技术与解决方案研究。1.精通Shell/Perl/Python中的一种或几种语言；2.精通SQL优化；3.熟悉MySQL的运行机制和体系架构；4.熟练掌握数据库调优、SQL调优，能独立分析性能问题原因并解决；5.熟悉MySQL数据库的管理，扩容，备份，优化；6.熟悉MySQL群集、HA体系。人工智能大数据，做人工智能定位系统，一线互联网创业团队，
