education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,1年以内,五险一金补充医疗保险定期体检五险一金补充医疗保险定期体检,20,25K,数据架构师,北京,"1、负责与客户对接，结合铁塔业务现状对数据仓库平台架构，数据模型体系进行总体规划与方案设计并进行客户汇报；2、负责海量数据的数据仓库搭建，配合项目经理把控项目组内数据仓库及数据模型实现过程；3、研究跟进大数据架构领域新技术并分享；参与公司重点市场售前交流及应标；4、5年及以上数据仓库开发经验，精通SQL语言，具备Oracle和大数据开发经验,有电信行业经验优先；5、熟悉数据仓库各类模型建模理论，了解数据仓库数据分层架构；6、具备大型数据仓库架构设计、模型设计、ETL设计的相关经验；7、具备很强的学习能力和工作抗压能力；"
本科,3-5年,五险一金年终奖股票期权带薪年假员工旅游餐补通讯补贴零食下午茶五险一金年终奖股票期权带薪年假员工旅游餐补通讯补贴零食下午茶带薪年假免费零食领导nice地铁周边智能硬件公司氛围好年终分红扁平管理,30,60K,数据架构师,北京,1、公司集团数据中心数据开发工作，数据仓库的建设2、智能硬件、共享出行相关领域的大数据处理解决方案1、3年以上相关工作经验，本科及以上学历，计算机、数学、统计学专业优先2、熟悉Hadoop、Spark、HBase、Storm、Hive等系统，有过从 0 到 1 搭建数据平台的经验3、有MPP数据库的搭建、使用经验者优先4、良好的逻辑思维能力，良好的业务解读能力，能够从海量数据中发现有价值的规律5、熟悉Bash/Perl/Python相关脚本语言6、熟悉数据库相关操作，熟悉SQL操作，精通数据结构和算法7、有数据仓库建设经验者优先9、具有数据分析和数据挖掘方面的项目经验者优先10、优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践
本科,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补节日福利住房补贴五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补节日福利住房补贴地铁周边不打卡带薪年假,25,50K,数据架构师,北京,"数据平台高级工程师技术背景牛,快速成长,弹性工作,高期权数据仓库构建 | 数据挖掘分析 | Hadoop/Spark生态圈 | 每天1T+数据 | 勇于挑战1、负责核心用户行为数据流的相关服务，每天处理千万增量的用户行为数据的实时清洗，转换，计算，并提供查询、分析等服务；2、设计和构建数据仓库，调度系统、数据服务、分析系统等，降低数据的使用门槛，提升系统运行效率，实现数据的最大价值化。1、本科及以上学历，计算机等相关专业，2年以上相关实操经验；2、热爱互联网，优秀的编码能力，乐于学习和尝试新技术；3、熟悉Linux系统，熟练使用Python 或 Java 或 Scala；4、熟悉Hadoop/Spark生态圈，能接受每天1T+的数据挑战；5、有大型系统架构设计经验者优先，有数据平台运维经历者优先。工作地址北京 - 海淀区 - 知春路 - 中关村大厦"
本科,5-10年,年度旅游免费零食带薪年假扁平管理领导nice互联网金融福利多多发展空间大年度旅游免费零食带薪年假扁平管理领导nice互联网金融福利多多发展空间大年度旅游免费零食带薪年假扁平管理领导nice互联网金融福利多多发展空间大,30,50K,数据架构师,北京,1、负责大数据平台架构的评估、规划和设计 ；负责海量数据采集、处理及存储、应用方案的技术选型及架构实现；分布式存储、流式/实时计算等应用层架构搭建及核心代码实现；2、开发大数据平台的核心代码，负责大数据平台的搭建，完成系统调试、集成与实施，技术难题的解决，保证大数据产品的上线运行 ；3、根据业务需求持续优化数据架构，保证产品的可靠性、稳定性 ；4、指导开发人员完成数据模型规划建设，分析模型构建及分析呈现 ，分享技术经验；5、负责大数据平台的架构评审，代码评审，上线评审；参与数据应用需求、设计、审核和评审；6、深入研究大数据相关技术和产品，跟进业界先进技术；1．熟悉hive、hbase、storm、mahout、flume、ElasticSearch、Spark、Kafka等，具备实际项目设计及开发经验；2．熟悉sparkstreaming等相关的实时计算技术；3．熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算中一项或多项技术，并具备多年的实际工作经验；4．熟悉主流关系型数据库（Oracle、MySql）、NoSql数据库，熟悉pl/sql编程；5．对技术充满热情且具有钻研精神，对新技术以及行业动向保持敏感性。1．本科及以上学历，数学或计算机相关专业毕业，不少于5年的工作经验，具有扎实的计算机基础理论知识；2．有3年以上Hadoop、Spark、Hbase平台性能调优经验；熟悉sparkstreaming等实时计算技术3. 精通Linux操作系统，熟练使用Java；熟悉常用框架.如Spring、MyBatis等；4．具有较强的执行力，高度的责任感、很强的学习、沟通能力，能够在高压下高效工作；景星科技由20年投资投行经验的行业专家及500强IT企业高管联合创立，致力于打造帮助创业者及投资人智能找方向、找热点、找对标、找竞品、找项目、找人的AI助理。
本科,5-10年,五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利零食下午茶弹性工时五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利零食下午茶弹性工时股票期权带薪年假扁平管理地铁周边领导nice年度体检年终分红弹性工时,35,60K,数据架构师,北京,1. 负责结合业务需求设计大数据架构及评审迭代工作；2. 基于大数据处理平台的模型设计与数据资产体系搭建;3. 参与数据仓库建模和ETL架构设计，参与大数据技术难点攻关；4. 负责团队数据对外合作的数据核准、数据对接工作推动合作和交流；5. 对大数据技术进行分析选型，培养提升团队技能。1.本科及以上学历，计算机或者相关专业; 5年以上研发、3年以上大数据相关经验；2.良好的大数据视野和思维，高效的沟通能力，对技术由衷热爱，乐于分享；3.熟悉完整处理流程包括采集、清洗、预处理、存储、分析挖掘；4.熟悉机器学习常用算法，熟练掌握Hadoop/HBase/Spark等的运行机制，有PB级数据处理经验;5.有知名互联网或大数据公司同类数据产品架构经验者优先。大数据与泛娱乐的完美结合，任你转不出时代前沿，加入艺恩，紧贴趋势，成为站在高处智者中的一员。期待你的加入，聚合时代，火速抢位。
本科,5-10年,五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利,35,70K,数据架构师,北京,"工作职责:-负责构建大数据分析平台以及数据分析和挖掘工作-负责相应技术方向的难点攻关，前瞻研究以及初级工程师的指导-运用Hadoop、Hive、Spark、ES等分布式计算和存储平台-计算机相关专业，5年及以上相关工作经验,有扎实的计算机理论基础-在数据挖掘、机器学习领域中，具备将算法应用于实际生产系统的能力-有大规模离线计算，实时计算，OLAP数据仓库和海量数据存储经验者优先-有如下技能者优先，Spark/Spark Streaming/Hadoop/HDFS/kafka/elastic search-至少熟练掌握如下一种语言 Scala/Java/Python/PHP-有大型互联网公司大数据平台及数据开发经验者优先-具备大数据云平台、计算存储平台、可视化开发平台经验优先-具有宽广的技术视野，精深的技术功底，创造性思维，富有想象力，有让技术产生更大影响力的理想和使命感"
本科,10年以上,,28,40K,数据架构师,北京,1.负责数据平台、数据仓库架构的规划与设计；2.负责数据平台的整体数据架构设计，完成从业务模型到数据模型的设计工作 ，熟悉业务模型分析及转换，具备较强的业务理解和业务抽象能力，善于从复杂现象中抽象根本问题，分析根本原因，并形成最合适的快速解决方案；3.负责根据业务功能、业务模型，进行数据库建模设计 ，具备大型企业级数据库模型设计能力，对能源类系统，元数据系统有非常深刻的认识和理解，能解决能源类系统数据价值应用的关键问题。4.完成各种面向业务目标的数据分析模型的定义和应用开发 ，5.负责数据平台的数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分析技能，能够解决复杂的算法问题。6.负责和各个业务系统之间的数据对接，把控客户各业务部门的数据需求；带领团队成员一起完成数据应用工作的流程、规范和方法的建立。任职要求：经验：1.8年以上IT行业工作经验，具有丰富的信息系统设计、实施经验；2.具有5年以上企业级数据平台、数据仓库设计经验；3.丰富的数据架构规划、数据建模、数据库设计以及程序设计、开发经验；4. 丰富的数据解决方案或数据架构（数据仓库、数据集成、数据管理）构建经验；5. 丰富的基于开源技术的提供大数据解决方案的经验；6.熟悉常用的分析、统计、建模方法，熟悉数据仓库相关技术，如 ETL、报表开发，熟悉分布式计算的设计，了解在能源企业从数据化到决策分析过程中会遇到的各种问题，并有过实战经验。技能和能力：1.深入了解包括：抽象、SQL查询路径以及优化路径在内的方法和技能；2.熟悉hive、pig、python任意一种大数据处理语言； 熟悉hadoop、sql、shell；3.熟悉Oracle、SQL Server、DB2、MySQL等主流数据库及数据仓库的设计和应用；4.熟悉Hadoop/Spark/NoSQL数据库等大数据技术；5.有数据治理、主数据管理、数据挖掘等工作经验者优先考虑；6.具有较强的责任心、执行力，有良好的沟通技巧和团队领导能力。
本科,5-10年,五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利公司氛围好不打卡福利好免费零食领导nice地铁周边带薪年假年终分红,50,100K,数据架构师,北京,"1 、统招本科及以上学历，计算机专业。8年以上研发经验，5年以上大数据架构师经验；2、 具有hadoop，hbase，mppdb等大数据实际项目经验，对源码有深入研究；3、 熟悉linux集群和有分布式数据库\存储经验者优先；4 、深入理解hadoop，Hdfs，mapreduce原理，熟悉分布式计算模型或有高效索引技术经验者优先；5 、具有PB级海量数据存储经验者优先,在数据处理，数据挖掘，数据分析等方面有丰富经验；6 、对研究技术有浓厚兴趣，善于总结沉淀，乐于与他人分享。"
本科,5-10年,五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利零食下午茶地铁周边公司氛围好大平台,30,60K,数据架构师,北京,"1、客户体验优化相关数据开发，数据集市和大数据处理模块的架构设计、开发和维护；2.      负责数据清洗、加工、分类等开发工作，并能及时响应数据分析及挖掘对数据的需求；3.      根据需求使用海量数据建立完善的指标体系，支撑业务运营需求；4.      和团队一起完成大数据智能分析工作的流程、规范建立；5.      负责大数据技术的研究及应用；1.      本科及其以上学历，5年以上相关工作经验，具有互联网、大数据开发，数据分析经验；2.      熟悉Java、Scala 之一，对于Hadoop、Hive、Spark有实际的编码能力和项目经验；3.      熟悉数据仓库建模理论、模型设计、ETL设计思路, 并有实际完整项目实践；4.      熟悉至少一种主流数据库系统，精通SQL，有较好的SQL性能调优经验；5.      熟练使用Shell、Python之一；6.      对数据敏感，具备良好的逻辑思维能力、具有团队精神以及优秀的问题解决能力；7.      有用户体验相关项目经验优先。京东客户卓越体验部是整体负责京东集团层面客户体验项目的推进。2018.3.15成立，将致力于客户全生命周期的跟踪管理，持续研究C端、B端客户趋势和习惯，推动集团内部的跨部门客户体验流程优化，建立可实时监控、跟踪、评估的客户体验全流程数据化体系。"
本科,5-10年,五险一金定期体检年终奖带薪年假员工旅游通讯补贴交通补助节日福利五险一金定期体检年终奖带薪年假员工旅游通讯补贴交通补助节日福利领导nice团队稳定上市公司公司氛围好发展迅速自主研发股票期权创新层,25,50K,数据架构师,北京,1.主导数据库技术规划，架构设计，以及支撑关键特性的交付落地，构筑差异化竞争力；2.主动与重点客户进行方案交流和方案架构设计，研究与跟踪数据库的发展方向，制定发展战略1.具有丰富的数据库领域知识，长期从事数据库领域工作；2.具备8年以上数据库架构设计和开发经验；3.对业界数据库厂商有深刻理解者优先；4.对数据库开源社区发展和运作方式熟悉者优先；
