education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险,20,40K,数据开发,北京,工作内容：1. 参与知识图谱构建；2. 参与数据流处理相关开发；3. 数据分析，离线/实时计算相关开发；4. 数据服务相关开发；1. 有扎实的编程基础和算法基础；2. 至少熟练掌握java，熟悉了解spring boot及spring cloud优先考虑；同时熟悉node.js优先考虑；3. 有快速学习能力；4. 熟悉hadoop生态，有流计算实际经验者优先；5. 有独立完成项目经验者优先；团队介绍产品【kanzhun.com 】“公司大众点评网”，国内最大企业画像数据库产品【Boss直聘】，基于移动和机器学习的新招聘平台产品【店长直聘】，城市服务业第一直聘App有竞争力的工资。尊重技术产品的公司。证明单一领域机器比人牛逼已过时，让机器帮人干点正事。
本科,3-5年,五险一金补充医疗保险定期体检年终奖带薪年假通讯补贴节日福利零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假通讯补贴节日福利零食下午茶,23,35K,数据开发,北京,"数据库开发工程师1.扎实的数据仓库和模型设计基础知识2.掌握ETL开发过程和规范，最好有informatic,datastageetlplus使用经验3.负责数据库存储引擎、中间件开发3.熟悉c/c++，golang，python等，熟练的SQL语句编写能力，具有SQL调优能力4.熟悉Oracle、DB2、Teradata、Gp等主流数据库，具有扎实的存储过程编写能力5.熟悉数据库系统如何实现并发控制和故障恢复，了解WAL和数据库复制原理，有MySQL、PostgreSQL、Redis、MongoDB源码阅读和开发经验的优先6.了解B+树、LSM树、倒排表，哈希等外存数据结构，有LevelDB、RocksDB、TokuDB、Lucene等引擎源码经验优化7.善于解决和分析问题，富有想象力和学习能力，有良好的团队合作精神"
本科,1-3年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补零食下午茶五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补零食下午茶,20,40K,数据开发工程师,北京,工作职责：1. 参与AI云服务的亿级别数据建设，包括数据ETL、数仓建设、数据BI产品；2. 参与新业务和行业的数据商业化探索和数据价值挖掘。1. 熟悉数据仓库产品，对数据处理、维度建模、数据分析等有深刻认识和实战经验，如Hadoop/Hive，Storm/Spark，Impala，MPP等的数据应用开发；2. 对大数据平台的构建和实现机制有深刻的理解，有大数据平台运维和开发经验；3. 对大数据、云计算、开源软件、传统数据仓库类产品有一定的深度和广度；4. 有较强的编程能力和编程经验，至少熟悉Java/C++其中一门编程语言，有较强的分布式计算基础和算法工程能力；5. 具备较好沟通协调能力，主动建立与业务的紧密合作，推动业务升级。
本科,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高领导nice不打卡扁平管理公司氛围好年终分红免费零食股票期权带薪年假,21,30K,数据开发工程师,北京,工作职责：1、小米商城日志数据和业务数据的统计分析2、负责对接各种数据需求，一起参与数据平台的开发3、用户行为模型的搭建，对用户数据进行挖掘分析4、参与新技术选型以及调研工作1、计算机或数学相关专业，本科及以上学历2、3年以上Java/Scala或数据开发经验，熟悉大数据离线和实时处理流程3、熟练掌握大数据相关技术，Hadoop、HBase、Hive、Spark、Kafka、Storm4、熟悉MySQL、PostgreSQL、Redis等数据库5、熟悉常见的数据模型以及机器学习算法，如回归、分类、聚类6、有Linux环境下的开发经验7、有很强的责任心，对数据敏感，具有较强的分析和解决问题的能力，以及良好的沟通、表达能力
本科,1-3年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利团建费五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利团建费股票期权带薪年假公司氛围好,22,30K,数据开发,北京,"1.数据统计分析：负责小鹏汽车用户行为和汽车性能的数据统计与分析，产品效果评估与分析，为产品策略优化迭代提供有效的数据支撑。2.数据挖掘：从海量日志数据中发掘有价值的信息，建立多个维度上的模型，用于指导产品优化。1.数学、统计、金融、计算机或者相关专业本科以上学历。2.熟悉Java/Python，熟练掌握SQL，具有3年以上开发或者统计分析经验。3.了解HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce，熟练掌握Mapreduce程序开发，了解实时计算，有使用过storm,spark streaming,flink等开源实时流引擎的优先考虑。4.对数据仓库系统架构具有良好的认知，熟悉数据仓库相关技术，如 ETL、报表开发，具备数据分析技术并具有相关项目经验。5.掌握常用的数据分析工具、数据挖掘、机器学习算法是加分项。有挑战有机会，就看你敢不敢来…"
本科,3-5年,五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴节日福利五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴节日福利,12,14K,数据开发,北京,1、精通主流数据库（DB2、Oracle)的ETL开发经验；2、熟练掌握存储过程、perl、shell等脚本言语开发；3、熟练掌握AIX、LINUX等操作系统；4、具有ODS、DW等数据平台项目经验、基础模型开发者优先考虑；5、熟练掌握数据库SQL开发；6、良好的沟通能力，踏实稳重；7、精通perl开发，能独立进行perl开发；8、全日制大学本科相关专业毕业或同等学历，4年以上（含4年）工作经验，3年以上金融行业相关经验。
本科,5-10年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补通讯补贴节日福利五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补通讯补贴节日福利,25,50K,数据开发工程师,北京,"工作职责：1. 使用数据挖掘和机器学习算法从海量数据中挖掘用户兴趣偏好2. 使用机器学习算法解决酒店中的相关性、精准定向、个性化推荐等问题3. 构建用户画像，商品知识图谱等应用在推荐系统中，提升推荐的准确性、多样性，增加用户的粘性，提升用户价值。4. 研究最新机器学习算法并应用于酒店业务中，实现技术驱动的变现和引流效果提升.1、计算机或相关专业本科及以上学历；2、熟悉python、R等其中一种编程语言，编程能力强。熟悉多种语言加分3、熟悉常用机器学习算法，能够理解算法原理，并有能力研究和优化算法。4、熟悉LR, FM, GBDT等常用机器学习算法，能够理解算法原理，并有能力研究和优化算法。同程艺龙由同程旅游集团旗下的同程网络板块和艺龙旅行网在2017年底合并而成。同程艺龙定位于领先的在线旅行服务平台，将同程网络和艺龙各自核心业务优势互补，并占有微信钱包中机票火车票的入口和酒店入口。目前同程艺龙已有近两亿的消费会员，2017年服务超过五亿人次。合并交易额超过千亿人民币。"
学历不限,经验不限,年度旅游美女如云地铁周边公司氛围好年度旅游美女如云地铁周边公司氛围好年度旅游美女如云地铁周边公司氛围好,20,28K,数据开发,北京,大数据研发工程师 (20-28k)1. 负责商业数据仓库设计、ETL开发、数据治理、流程优化和数据质量保障2. 负责基础日志方案和合理性评估3. 深入理解各业务方需求，规划设计数据仓库模型4. 为业务方提供快速、准确、灵活的数据仓库主题支持5. 满足上层数据运营体系、OLAP、数据挖掘等需求1. 本科及以上学历，5年以上互联网数据仓库设计和开发经验2. 精通数据仓库实施理论，具备大型数据仓库设计，模型设计优化能力3. 深入理解Hadoop系统中Hive、MapReduce、Spark原理，有实际使用Hive/MR/Spark处理大数据相关问题的经验，具备丰富的性能调优经验4. 掌握基本的数据结构、算法，依据实际的数据问题具备一定的算法调优能力5. 熟悉Linux环境开发，精通Java开发，掌握Shell/Python等脚本语言至少一6. 对商业化业务感兴趣，对数据敏感，逻辑性强，认同技术驱动业务发展的价值观，能不断用简单优雅的技术方案解决业务问题，有良好的逻辑思维与沟通能力
本科,经验不限,五险一金补充医疗保险定期体检五险一金补充医疗保险定期体检,25,50K,数据开发,北京,工作职责：1.参与滴滴最核心的分单、拼车、定价引擎、生态引擎、地图、用户画像等机器学习模型的构建和实现；2.构建高效率的算法平台，优化产品各个环节的司乘体验，打造更美好的出行平台。1.计算机或者数学相关专业本科及以上学历；2.有机器学习、数据挖掘等相关项目实际经验，理解自然语言处理/搜索/推荐系统/用户数据分析和建模的基本概念和常用方法；3. 在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，加分项：包括但不限于LR、SVM、GBDT、Reinforcement Learning、Deep Learning；4.熟练掌握海量数据处理技术，有使用Hadoop/Hive/Spark分析海量数据的能力和经验；5.编程基础扎实，熟悉算法数据结构，有较好的C++/Python/Java/Scala开发经验；6.有学习热情，关注业界前沿技术和人工智能国际会议研究动态，不断提升自己在机器学习、运筹优化、机制设计、数理统计等方向的能力，在人工智能相关顶级会议有论文发表者优先；7.优秀的分析和解决问题的能力，对挑战性问题充满激情，有较强的沟通能力，责任心和团队意识佳。
本科,3-5年,五险一金补充医疗保险定期体检加班补助带薪年假餐补交通补助零食下午茶五险一金补充医疗保险定期体检加班补助带薪年假餐补交通补助零食下午茶股票期权带薪年假美女如云扁平管理领导nice公司氛围好,25,50K,数据开发,北京,1. 接触互联网视频广告投放的核心业务2. 数据量巨大，解决在海量数据下的并发，性能等问题工作职责：1. 负责广告部门海量数据的端到端处理，从数据采集，ETL，数据计算，数据报表生成和数据高性能查询等2. 负责广告部门数据模型的设计，数据仓库结构的设计、实现、维护要求：1. 211大学本科及以上学历，计算机，电子信息等相关专业优先2. 熟悉Java编程语言，有Java web大型项目经历，熟悉Python/Shell中至少一门脚本语言3. 有Hadoop，Hive，Impala，Druid，Flume，Kafka，Spark streaming，Zookeeper中一种或多种的实际使用经验和项目经历4. 有数据仓库的开发和应用经验，对BI的数据结构有良好的理解和设计能力5. 对数据自动化测试有一定的了解6. 优秀的学习能力和团队协作能力
