education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
硕士,应届生,五险一金加班补助年终奖带薪年假交通补助节日福利五险一金加班补助年终奖带薪年假交通补助节日福利领导nice扁平管理公司氛围好移动互联网带薪年假免费零食股票期权,8,16K,数据分析师助理,北京,数据，是业务的核心支持数据分析师分析业务及产品现状，分析业务变动原因，深入业务一线了解义务，配合与支持数据化管理的落地，为一线业务提供数据需求支持要求：1、熟练使用sql、excel、tableau2、熟练使用R/SAS/SPSS的，python、HIVE的优先3、沟通表达成熟与团队协作，充满好奇，愿意深入业务，深入一线4、有过一线互联网公司实习经验优先，了解经济、商业与经营的同学优先，有社团/学生会管理经验优先关于学霸君1、TOP的在线教育公司，科技与AI方面行业NO.12、第一家拍照搜题app，1亿学生用户3、目前主打业务在线1V1销售增长迅速，年内小目标10亿+关于我1、上海交通大学计算机本科、上海高级金融学院金融硕士2、5年PE/VC投资经验，主要基于企业长线价值及Financial Model做判断3、2015年加入学霸君，负责智能学习业务，今年起负责数据业务4、工作狂，80+h/week我喜欢“聪明自驱”、“目标导向”、“要性强”、“不设限”“、”追求卓越“的同学，有梦敢想，空间平台与机会都是敞开的，很open，机会与挑战很多，但我坚信，1年后，大家会发现，学霸君的数据团队，是最好的。数据驱动业务，欢迎最优秀的筒子，加入学霸君。We will be top in 1 year.
本科,3-5年,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假员工旅游餐补交通补助节日福利住房补贴五险扁平管理领导nice移动互联网公司氛围好地铁周边,20,40K,数据分析师,北京,1、建设市场投放数据分析体系，统计分析投放及后续用户行为数据;对行业及产品数据进行监控，预测，深度挖掘;为市场商业行动提供有效落地建议。2、负责并且承担数据分析模型的建立，有效的增长发掘，与业务深度配合，建立核心观测指标，并不断指导优化。建立并监控模型建立、模型跟踪、模型优化等闭环流程。3、基于对数据的理解和增长的需求，指导团队进行数据科学研究，包括但不限于有效的数据预测分析、发现业务短板、投放效果剖析、自动化监控等。1、计算机、统计学、数学相关专业本科以上学历，有较强的统计及数学建模能力。2、3年以上数据挖掘相关工作经验。3、具备较强编程能力，熟练使用Python，java，perl等至少一种编程语言，熟悉自然语言处理相关技术者优先。4、具备较强的独立处理问题和解决问题的能力。5、学习速度快，善于主动&超前学习；主动性和责任心强。
本科,5-10年,五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利领导nice年度旅游地铁周边带薪年假年终分红美女如云股票期权公司氛围好,20,40K,数据分析,北京,1、根据业务流程定义新指标 、优化和和完善公司整体数据分析体系，包括指标体系、报表体系、专题分析体系；2、 提供业务部门数据需求支持，挖掘分析主题，开展数据分析工作，基于数据分析成果，为业务模块的决策和产品方向提供数据支持，持续改进运营效果；3、提取数据，进行预处理，检验，清洗，可视化等；4、指导定位问题，查找原因，与技术部门沟通跟进问题解决。5、撰写分析报告（包括业务报告、经营报告、竞对分析等）1、本科以上学历，要求统计学、计算机或相关专业；2、要求5年以上相关工作经验3、熟悉数据仓库，掌握数据分析、数据挖掘方法，熟练使用Excel、SQL、SPSS/SAS、Powerpoint、BI可视化工具等；4、对数据与业务有足够敏感性，逻辑思维缜密，独立思考能力强。5、具有零售、电商、社区团购从业经验者优先。
本科,1年以内,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补包吃节日福利公积金高,20,30K,数据分析师,北京,1．使用用户相关数据，经过合理的算法模型，精准分析出用户槽点和问题；2．依据科学的数据分析结论，结合产品和项目，推动分析点的实际落地；3．建立数据质量标准及评价体系，使数据模型流程化，良性滚动。4．有良好的数据分析报告撰写能力，可以合理输出数据及结论。1．本科以上学历，数学、统计、经济学、计算机等相关专业为佳；2．具有较强的数据落地能力，有效推动项目良性循环；2、3年以上数据分析或挖掘经验；有互联网数据分析经验为佳；3、较强的沟通及逻辑思维能力，具有数据团队管理经4、熟悉基本的数据提取工具如MSSQL、MYSQL、Oracle、Hive等，熟练使用SPSS、R、SAS、Python等
本科,1-3年,五险一金年终奖带薪年假通讯补贴交通补助节日福利五险一金年终奖带薪年假通讯补贴交通补助节日福利领导nice公司氛围好发展空间大五险一金法定节假日,6,8K,数据分析专员,北京,1、大卖场渠道销售数据分析与管理；2、各类关键业务指标监控，月度重点工作跟进汇总；3、协助上级完成各类总结分析报告；4、其它临时性工作。1、全日制本科及以上学历，精通PPT、Excel等office办公软件操作；2、具备一定的数据分析技能和思维逻辑；3、具备较强的沟通、协调、组织能力，条理清晰、逻辑明确；4、工作主动性强，能承受较大的工作压力。
本科,1-3年,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游免费班车餐补节日福利零食下午茶五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游免费班车餐补节日福利零食下午茶,15,20K,数据分析工程师,北京,"负责机器学习平台的搭建，数据结构优化等工作。建立和维护大数据相关的各种基础，包括ETL流程、数据整合清洗、数据应用的设计和开发等，提升数据质量、稳定性和性能。支持各类模型搭建及数据需求。熟悉常用机器学习和数据挖掘算法（如决策树、支持向量机、线性回归、逻辑回归和神经网络），有良好的数据结构与算法基础。熟练掌握至少一门面向对象的编程语言，熟悉Python者优先。精通Mysql、PostgreSQL或MongoDB的开发和调优。对大数据技术及机器学习技术有浓厚的兴趣。加分项：有ETL pipelines（Azkaban，Luigi，Airflow等）经验优先。有分布式存储系统（Spark，Dask，Hadoop，MapReduce）经验优先。熟悉可视化工具（Matplotlip, ggplot, Seaborn, Bokeh, Plotly, D3, Tableau）优先。"
本科,1-3年,五险一金定期体检加班补助年终奖带薪年假员工旅游餐补交通补助节日福利优惠报名五险一金定期体检加班补助年终奖带薪年假员工旅游餐补交通补助节日福利优惠报名,10,15K,数据分析师,北京,1、对各业务指标进行实时监控，对异常数据进行预警分析，为学校提供业务支持和指导，并提出解决方案；2、基于对教务业务的深入理解的基础上，为学校提供数据决策和运营策略支持；3、密切跟踪竞品行业数据报告，对比条线异常数据及时给出预警和解读；4、根据调研结果，将学校的优秀案例整合，在全国实施和推进；5、对教学数据的挖掘，进行业务逻辑分析，快速发现问题并归因，对教学产品和服务优化需求提供支持；6、结合学校业务逻辑，提出业务优化改进建议，辅助完成运营系统建设工作；7、领导交办的临时事宜。1、统招本科以上学历，计算机/数学或算法相关专业，研究方向包括但不限于机器学习、人工智能、模式识别等；数学、统计学专业优先 ；2、1年以上相关工作经验；3、熟悉分类、聚类、回归等机器学习算法，具有算法应用经验，能独立使用一种数据挖掘统计软件/SAS/SPSS/R；熟练使用办公软件，如EXCEL、WORD、PPT、VISIO等；4、具备较强的系统逻辑分析能力和探究精神，能快速识别业务过程对信息系统的需求，并提出适当的解决方案；对教育行业有良好的认知，优秀的表达能力，具有开拓精神，思维敏锐；能够主动学习，分析。
本科,1-3年,五险一金补充医疗保险定期体检年终奖带薪年假节日福利五险一金补充医疗保险定期体检年终奖带薪年假节日福利,4,6K,数据分析,北京,1、负责原始数据的整理，净化，计算，并形成图表；2、和历史数据进行比对，查出异常数据的问题，反馈给现场执行部门，来对数据进行质控；3、将整理过的数据归档保存，形成历史数据趋势，以备查阅；4、其他临时性工作。良好的沟通和执行能力；细致严谨的工作态度；良好的学习能力和团队精神。
本科,3-5年,五险一金补充医疗保险全勤奖年终奖股票期权带薪年假员工旅游餐补通讯补贴包吃节日福利住房补贴零食下午茶五险一金补充医疗保险全勤奖年终奖股票期权带薪年假员工旅游餐补通讯补贴包吃节日福利住房补贴零食下午茶不打卡扁平管理七险一金自助午餐地铁周边,12,20K,数据分析师,北京,1、通过数据库的分析挖掘，为决策提供数据支持，实现数据价值；2、精通SQL，根据业务需求进行数据分析，提出合理运营建议；3、负责与相关工作的人员做各类数据需求与对接，推动产品的发展与改进；1、本科（全日制统招）及以上学历，理工科专业优先；2、相关工作经验1至3年；3、有贷后数据分析经验优先；4、严谨细致、逻辑清晰，头脑灵活，学习沟通能力强，执行力强，对数字敏感；提供不良资产资源处置的综合交易平台。承接上游资源与下游资产处理方。结合大数据技术、贷后模型、人工智能、全象限催收职能AI系统解决并颠覆替代传统人工方法。  北大、fico高级模型、分析、数据团队领衔上层技术架构。
本科,5-10年,五险一金加班补助年终奖带薪年假节日福利免费考证五险一金加班补助年终奖带薪年假节日福利免费考证带薪年假地铁周边领导nice公司氛围好移动互联网,30,60K,数据分析专家,北京,"1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发，并对运营数据进行实时监控及管理，及时发现运营异常情况，能快速定位问题；现与定位业务问题2. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持 ，与业务团队紧密合作，通过专题分析/挖掘数据，探索业务机会点并能贡献自己对业务的独特见解，推动运营业绩持续改善；3. 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地4. 与相关团队协作进行数据建模工作，推动业务部门的数据化运营5. 与相关团队协作（如数据运营团队）组织数据技术与产品相关的理念、技能、工具的培训1.、本科以上学历；精通数据分析、从商业角度解读数据，熟练使用SQL/SAS，熟悉至少一种数据库软件，如：oracle、mysql、sql server等；2.、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题3.、良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验4.、能高效的与数据技术团队进行沟通 ，大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目尚德机构—职业培训领跑者全国最大的一家职业教育培训机构尚德成立15年，目前员工有10000多人，全国学员超50万名我们尚德的人才理念：培养自家经理人（尚德有6名总裁助理/总监级别的领导，全部来自于自我培养）"
