name,place,education,expersion,highSalary,lowSalary,fuli,yaoqiu
数据专员,北京,本科,应届生,4,6K,地铁周边带薪年假地铁周边带薪年假地铁周边带薪年假,1、维护EPS数据平台，主要包含：（1）国外类数据库的资源下载、指标框架建立、数据录（导）入；（2）国内年鉴类数据库的指标框架体系新建、优化以及少量数据录入工作；（3）与数据资源部共同做好国内年鉴类数据库之外的其它类型数据库数据更新（主要为贸易数据、上市公司数据、国外数据等）；（4）协助开发部做好程序化导入数据的后期处理；2、维护EPS知识服务平台，主要包含但不局限于：（1）EPS知识服务平台的时间序列资源整理、录（导）入；（2）EPS知识服务平台的文献指标信息的质检与后期整理工作；3、 公司承接的项目中若有关于时间序列资源的需求，则配合其它部门做好项目时间序列资源的整理；4、做好营销支持任务，积极响应公司营销需求；1、数学、经济学、统计学专业优先；2、对统计指标体系有较强的理解和组织能力，工作认真，有耐心，能承受较强的工作压力，有团队合作精神；3、EXCEL操作熟练，熟悉统计分析软件，如SPSS、VBA等额外加分；4、优秀应届毕业生也可考虑。
产品经理 (数据方向）,北京,本科,3-5年,20,30K,扁平管理领导nice地铁周边无限量零食免费两餐牛人带队不打卡团队年轻扁平管理领导nice地铁周边无限量零食免费两餐牛人带队不打卡团队年轻扁平管理领导nice地铁周边无限量零食免费两餐牛人带队不打卡团队年轻,"1. 在理解现有产品业务逻辑的基础上，对现有产品提出良好的改进建议。2. 对新的产品需求或项目，提出自己的产品设计方案。3. 研究行业和竞争对手的产品，理解产品的优缺点，并对公司产品提出改进方案。4. 负责跟进竞争对手的产品动向，对公司的产品发展策略提出建设性建议和不断完善产品。5. 收集客户反馈、客户需求，思考解决方案，持续挖掘需求进行产品创新，合理规划产品方案及路线图，协调推动产品功能实施6. 与开发、测试、项目各个团队密切协作，对产品进行持续优化和改进。1. 统招本科学历，2年以上互联网C端产品设计相关工作经验。2．较强的产品思维能力与问题分析与总结归纳能力，善于沟通，能够快速理解用户的痛点与需求，能够积极与其他部门人员沟通协作。3．熟练使用各种产品交互设计的工具，比如：Axure，Visio等。4．熟悉产品流程图绘制、产品需求文档（PRD）编写及建设方案或技术方案文档撰写。5．注重细节，认真负责，工作主动，执行力强，具有对数据和商业的敏感度。有以下经验者优先考虑?	有数据类产品设计经验?	有区块链产品设计经验?	有自己的上线作品?	智慧农业、零售业和物联网从业背景智链（ChainNova）是由美国硅谷PeerNova和中南建设合资成立的高科技公司，注册资本1500万美元，Linux Foundation及Hyperledger核心成员，IBM全球合作伙伴。定位服务于科技产业实践，融合区块链、云计算、大数据以及人工智能等技术，为用户实现行业应用场景落地，构建金融科技、区块链+产业、商业认知等解决方案。"
遥感数据处理实习生,北京,4个月,4天/周,130,160/天,五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补交通补助零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假员工旅游餐补交通补助零食下午茶带薪年假六险一金技术标配mac每月团建基金地铁周边零食下午茶生日会领导nice,1. 参与项目相关遥感数据的分析支持；2. 编写自动化脚本解决工作中常用的工作流。1. 统招本科或研究生在读，2020年毕业，每周至少4天，能实习4个月以上；2.掌握遥感处理基本流程和原理，有农学遥感相关项目经验优先；3. 熟练使用 ArcGIS、QGIS等GIS软件中的一项；4. 熟悉遥感图像处理软件，如 ENVI、ERDase、PCI 等；5. 有一定编程基础，熟悉Python、C++加分；6. 工作认真踏实，热爱学习，具有求知欲。北京佳格天地科技有限公司是一家通过环境和农业大数据收集、处理、分析和可视化系统，提供农业、环境和金融解决方案的时空大数据应用公司。
大数据架构师,北京,本科,10年以上,40,60K,五险一金带薪年假五险一金带薪年假带薪年假年度旅游年终分红美女如云领导nice公司氛围好,1、负责公司大数据底层框架的整体架构设计，结合公司实际业务情况进行技术选型及大数据战略规划；2、负责统一数据平台项目的整体评估、设计、架构及关键模块的开发；3、负责架构优化及系统关键模块的设计开发，协助团队解决开发过程中的技术难题；4、负责新技术的调研，并能在团队内进行推广应用；5、参与数据平台开发规范制定，数据建模及核心框架开发。1、计算机相关专业本科以上学历，8年以上工作经验，3年大数据相关经验；2、具有扎实的大数据和数据仓库的理论功底，负责过大数据平台或数据仓库设计；3、基于Hadoop的大数据体系有深入认识，具备相关产品（MapReduce、Hadoop、 Hive、 HBase、 Spark、 Storm、 Flume、Kafka、K8S、ES等）项目应用研发经验，有Hadoop集群搭建和管理经验，读过hadoop源码；4、算法基础扎实，熟悉常见的数据结构，深入理解分布式算法和以上提到的分布式系统；5、有大型互联网公司从业经历者优先。创建于2010年的九次方大数据（JUSFOUN BIGDATA)是中国最领先的大数据资产运营商，目前在职员工1500多人，是中国第一家提出数据资产运营的公司，同时也是贵阳大数据交易所的创始者。公司坚持以“贡献中国数据智慧，释放全球数据价值”为使命，通过“三轴一平台一中心”战略，构建完整的大数据生态链。
数据治理专家,北京,本科,5-10年,30,60K,五险一金带薪年假五险一金带薪年假带薪年假年度旅游年终分红美女如云领导nice公司氛围好,"（优秀的可放宽）1、负责政府数据治理，梳理数据治理平台的建设需求,实现公司各接触点和各渠道客户数据的接入、整合与清洗；2、制定数据治理系统的功能需求，主导规划数据治理各系统的建设；3、充分调研分析政府现状,负责制定数据标准、数据管理体系和流程；4、负责大数据项目数据治理（元数据、数据目录、数据政策、数据质量等）功能的技术方向评估和技术选型,负责建立、完善数据管理方法和工具；1、学历大学本科（含）以上 ， 统计、经济、金融、管理、计算机技术等相关专业。2、多年数据治理的项目实施或咨询设计经验；3、5年以上政府行业相关岗位工作经历；4、具有比较突出的组织、策划、协调及沟通能力，有强烈的结果导向和客户导向。创建于2010年的九次方大数据（JUSFOUN BIGDATA)是中国最领先的大数据资产运营商，目前在职员工1500多人，是中国第一家提出数据资产运营的公司，同时也是贵阳大数据交易所的创始者。公司坚持以“贡献中国数据智慧，释放全球数据价值”为使命，通过“三轴一平台一中心”战略，构建完整的大数据生态链。"
数据开发,北京,本科,1-3年,22,30K,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利团建费五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助包吃节日福利团建费股票期权带薪年假公司氛围好,"1.数据统计分析：负责小鹏汽车用户行为和汽车性能的数据统计与分析，产品效果评估与分析，为产品策略优化迭代提供有效的数据支撑。2.数据挖掘：从海量日志数据中发掘有价值的信息，建立多个维度上的模型，用于指导产品优化。1.数学、统计、金融、计算机或者相关专业本科以上学历。2.熟悉Java/Python，熟练掌握SQL，具有3年以上开发或者统计分析经验。3.了解HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce，熟练掌握Mapreduce程序开发，了解实时计算，有使用过storm,spark streaming,flink等开源实时流引擎的优先考虑。4.对数据仓库系统架构具有良好的认知，熟悉数据仓库相关技术，如 ETL、报表开发，具备数据分析技术并具有相关项目经验。5.掌握常用的数据分析工具、数据挖掘、机器学习算法是加分项。有挑战有机会，就看你敢不敢来…"
数据分析师,北京,硕士,经验不限,10,20K,扁平管理公司氛围好扁平管理公司氛围好扁平管理公司氛围好,1、负责设计、开发基于真实项目数据的行业大数据综合实训平台2、辅助设计、研发本科高职层次大数据相关核心课程内容，包含编程习题、案例、课件等3、参与大数据教育平台“数据酷客(cookdata.cn)”的功能设计、研发优化工作1、数理统计等相关专业，硕士以上学历2、拥有扎实的数理功底，熟悉机器学习常用算法，如线性回归、逻辑回归、SVM、AdaBoost、神经网络、随机森林等，熟悉前沿机器学习理论，如深度学习、强化学习等，具有较强的信息搜索能力，能够熟练查阅英文文献3、编程能力强，掌握Python/Java/Scala等至少一种编程语言，熟练使用Pandas、Sklearn、TensorFlow等第三方工具5、具备分布式平台Hadoop/Spark使用经验，熟悉Hadoop生态圈（Hbase、Hive等）6、具有金融、医疗、交通等行业大数据实际项目分析、建模经验，对精准营销、推荐系统、用户画像等领域有一定的了解博雅大数据学院为北京大数据研究院大数据教育研究中心旗下的孵化公司，主要业务为师资培训、企业内训、专业开设咨询服务，主要产品为大数据在线实训平台-数据酷客
项目管理（数据/信息方向）,北京,本科,1-3年,12,18K,五险一金补充医疗保险定期体检年终奖股票期权餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖股票期权餐补节日福利零食下午茶带薪年假年度旅游免费零食不打卡扁平管理地铁周边移动互联网领导nice,1、与客户开展需求讨论，参与需求分析；2、制定项目计划，并根据各种变化修改项目计划；3、进行项目需求解读，工作内容定义及计划分解；4、实施项目的管理、开发、质量保证过程，确保项目的成本、进度、绩效和质量目标；5、协调客户及项目相关人员沟通等工作；6、协助销售进行售前项目支持。要求：1、大学本科及以上学历，有数据分析、数据处理经营者优先；2、具备3年以上IT或数据产品项目管理经验；3、具备独立撰写报告能力，能够独立与客户进行洽谈和对接；4、具备较强的理解能力、逻辑思维能力、良好的沟通能力及客户反馈管理能力；5、具有数据产品项目管理经验者优先。树融科技是一个来自麻省理工（MIT）兼具全球最尖端的科技和业界最丰富实战经验的高科技创业团队，树融团队由城市规划交通、信息、计算机科学等多学科背景的成员组成，绝大部分都博士毕业于世界名校。
数据分析（实习）,北京,本科,经验不限,2,3K,带薪年假扁平管理美女如云地铁周边领导nice带薪年假扁平管理美女如云地铁周边领导nice带薪年假扁平管理美女如云地铁周边领导nice,工作内容：1、协助进行数据清洗、分析；2、协助进行分析报告撰写1、本科以上在校学生；2、一周至少2天工作时间北京明树数据科技有限公司（明树数据），是国内首家专注PPP行业大数据的科技公司。明树数据首席执行官肖光睿先生，是发改委、财政部PPP专家库双库专家、国际项目融资协会IPFA亚洲区理事、前亚洲开发银行高级PPP官员。公司管理层拥有多位发改委或财政部PPP专家库专家。
大数据架构师,北京,本科,5-10年,35,60K,带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游,1. 负责大数据产品线的架构设计和开发；2. 理解系统的业务需求，制定系统的整体技术框架、业务框架和系统架构；3. 负责给产品开发、实施、运维团队提供技术保障；4. 负责对系统的重用、扩展、安全、性能、伸缩性、简洁等做系统级的把握；5. 对系统框架相关技术和业务进行培训，指导开发人员开发，解决系统开发、运行中出现的各种问题。1. 对各种架构模型有深入理解，了解模型的优缺点；2. 对技术由衷热爱，对新技术、新方向有敏感的前瞻性；3. 有扎实的表达能力，对业务模型、技术模型进行分析、评估；4. 对大数据技术有钻研热情，乐于分享；5. 在开源社群活跃并有积极贡献者优先；6. 有百度、阿里、腾讯、Google等互联网公司同类数据产品架构经验者优先。
