name,place,education,expersion,highSalary,lowSalary,fuli,yaoqiu
金融行业ETL工程师,北京,本科,3-5年,10,20K,五险一金定期体检带薪年假员工旅游餐补电脑补贴五险一金定期体检带薪年假员工旅游餐补电脑补贴互联网金融公司氛围好地铁周边领导nice带薪年假年度旅游,ETL开发工程师职位职责：1.负责项目实施过程中的数据源分析、需求分析工作2.独立完成项目中数据模型设计、数据开发、调度工作3.配合完成项目测试工作，负责所开发内容的高质量交付1.统招计算机相关专业本科学历，二年以上相关工作经验2.了解数据仓库及BI基本概念3.熟练使用Linux操作系统，有Shell/Perl脚本使用经验者优先4.熟练使用常用数据库系统(Oracle/DB2/Greenplum)，有相关存储过程开发、SQL优化经验者优先5.熟悉ETL设计、开发及调度流程，有datastage/informatic使用经验者优先6.了解大数据相关产品，有Spark SQL、Hive SQL、HDFS等使用经验者优先7.有金融行业相关工作经验者优先金融IT服务
大数据etl工程师,北京,硕士,经验不限,19,38K,,大平台，17薪，福利待遇优，交补饭补，海外旅游1.负责公司各产品线的数仓建设。2.负责数据全流程的开发。包括但不限于etl，各层数据计算，监控，统计，报表等。3.根据产品，运营等需求，进行需求开发，实现业务功能。4.排查异常数据，并及时完成修复。保证数据质量。5.优化现有数仓结构，能够实现更多自动化功能，解放人力资源。6.根据组内需要，开发组件1.2年以上的数据开发经验，有大数据开发经验，有大数据etl功能开发，配置，平台化经验2.熟悉oracle，mysql，hive，spark等平台，能够熟练完成这些平台上的数据开发工作3.有bi，olap平台的实际开发经验4.精通linux环境下的开发，至少熟练使用java/python/shell其中一种开发语言5.熟悉elk，kafka，storm，spark streaming等组件6.有较强的性能优化及问题排查、解决能力；对开源技术非常感兴趣并具有一定的研究能力；7.对新技术有研究兴趣，可以将想法转化成行动实践。8.熟悉数据仓库建模设计、元数据管理、数据质量监控等系统建设9.有hadoop集群运维经验优先
ETL工程师,北京,本科,1-3年,6,12K,五险一金五险一金,1、需具备至少一种主流关系型数据库（Oracle、DB2、Mysql）熟练应用能力，有实际SQL脚本编写工作经验者优先。2、熟悉ETL工作流开发配置、ETL任务调度、工作流排错；3、熟悉数据仓库及相关建模知识和工具，对BI、数据挖掘等相关知识有深入经验者优先。4、具有较强的沟通、协调、语言表达、理解等能力和团队合作能力。5、熟悉电力业务。
ETL工程师,北京,本科,1-3年,8,16K,五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖带薪年假餐补节日福利零食下午茶股票期权不打卡年终分红扁平管理智能硬件带薪年假公司氛围好移动互联网,"工作职责:负责对客户ERP底层数据库结构的分析和数据对接，以及公司底层数据库框架的建立；负责海量数据的处理、分析、挖掘，对应用组、产品组等提供准确的数据支持；负责数据仓库ETL流程的优化及解决ETL相关技术问题；具备编写、优化复杂SQL的能力;熟悉SQL Server, Oracle, PostgreSQL;熟练使用Git命令;熟悉数据仓库的ETL的开发和优化;至少具有1年大型数据仓库开发经验;有python语言背景，会使用python开发语言更佳；有连锁便利店或超市零售行业相关ERP使用和分析经验优先；踏实好学，有团队协作精神。加分项：了解批发、零售行业知识，熟悉供应链业务知识。零售行业大数据公司，期权，固定13薪+年终奖，五险一金，补充医疗，年度体检，10天年假，5天带薪病假，每年2次调薪，弹性考勤不打卡，饭补+下午茶+饮料畅饮，非常好的学习平台和成长空间。"
ETL/.net/SQL工程师,北京,本科,3-5年,15,25K,,公司在英国长期从事能源及供水的策划与咨询服务。现寻求具有数据库开发及数据采集处理能力的资深工程师。熟悉SQL Server数据库后台数据库开发善于运用存储过程、函数等方法批量处理数据，实现相关的业务需求熟练掌握SQL语法的灵活运用，掌握数据库常用内部函数功能及用法面对复杂数据源，能够有效获取数据、清洗集成数据、加载数据、管理数据熟悉C#开发语言，.NET系统架构、设计模式及常见开源框架熟练掌握常用框架设计思想和规范，对软件开发常用技术和设计思想有较好的理解有良好的团队协作和沟通能力，做事积极主动、认真踏实，有强烈的责任心有大型项目软件开发经验者优先全日制统招本科及以上学历；计算机相关专业。3年以上软件开发经验
ETL工程师,北京,本科,1-3年,10,20K,带薪年假年度旅游领导nice移动互联网电子商务互联网金融股票期权年终分红带薪年假年度旅游领导nice移动互联网电子商务互联网金融股票期权年终分红带薪年假年度旅游领导nice移动互联网电子商务互联网金融股票期权年终分红,数据挖掘支持，对接数据库管理员，从oracle数据库中提取数据，进行数据清洗，导入数据挖掘环节。1、熟悉数据库2、熟练操作oracle数据库3、熟练使用sql语句4、熟悉hiveql的使用5、了解spss modeler或者tableau其中的一种清华大学MBA团队，多年电信、移动互联网丰富经验与资源，面向地产、零售、培训等多行业大数据挖掘与商业化应用团队，强大的大数据挖掘专家顾问资源和数据源。
ETL工程师,北京,大专,1-3年,9,15K,带薪年假不打卡年终分红公司氛围好领导nice互联网金融拓展培训晋升机制带薪年假不打卡年终分红公司氛围好领导nice互联网金融拓展培训晋升机制带薪年假不打卡年终分红公司氛围好领导nice互联网金融拓展培训晋升机制,1、具有相关数据库开发的工作经历优先2、熟悉数据清洗、数据抽取、加工流程3、熟练掌握ORACLE、DB2数据开发、熟悉SQL、存储过程以及数据库性能优化4、熟悉LINUX、UNIX操作系统及其常用命令5、熟悉存款、贷款、银行卡、总账等银行业务知识6、掌握主流ETL工具，例如DataStage、Shell、存储过程等7、熟练使用常用办公软件EXCLE、WORD。1、 协助模型设计师完成数据源分析工作、金融行业数据仓库系统的ETL设计和开发工作、参与金融行业BI系统与业务系统的接口设计2、在项目经理的带领下，参与银行（主要为上海本地的外资银行）IT项目实施过程；3、专注于数据处理工作，包括理解客户需求，需求分析，方案设计，开发功能设计、开发测试、系统上线、客户培训等工作。4、编写项目实施过程中的测试等文档。不沉闷的程序员，男女搭配的码农团队，齐心协力，牛气冲天!
ETL开发工程师,北京,本科,3-5年,10,20K,五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利带薪年假移动互联网,1.负责公司内部职能系统（hyperion/BIEE/汉得费控）的接口运维、数据交互处理、及部分vba模板运维及开发；1.计算机、信管或相关专业，全日制本科以上学历，2年以上ETL开发经验；2.熟练使用至少一种主流ETL工具，如:ODI/DataStage/Informatica/Kettle等；3.熟练使用sql语言，熟悉主流数据库的使用，如oracle/db2/Mysql等；4.学习了解过一种开发语言java/c++/vba等；5.掌握了解Linux常规命令与工具；优先条件：1.有Hyperion、OBIEE项目实施经验者优先；2.熟练使用VBA者优先。上市公司
etl工程师,北京,大专,3-5年,8,15K,五险一金加班补助年终奖带薪年假包吃零食下午茶五险一金加班补助年终奖带薪年假包吃零食下午茶移动互联网地铁周边公司氛围好,1、熟悉Linux操作系统使用。2、有Kettle等ETL开发工具使用经验3、3年以上经验做过保单上报或寿健险优先4.做过仓储项目
ETL开发工程师,北京,本科,1-3年,12,24K,五险一金员工旅游节日福利零食下午茶五险一金员工旅游节日福利零食下午茶互联网金融公司氛围好带薪年假地铁周边领导nice移动互联网,"a)负责建设大数据平台,大数据处理工作；b)基于Hadoop生态相关的程序设计、开发和维护；c)负责数据仓库ETL程序开发；d)负责基于大数据技术的海量数据的自动化分析处理和统计工作。1、1到3年工作经验，参与过大中型数据平台项目或者大数据产品研发，对金融行业有兴趣；2、有数据仓库理论和实践经验，熟悉数据仓库相关技术；3、熟练Flume、Kafaka、Storm、Hive、Elasticsearch、Hbase等大数据技术，至少精通其中二项以上；4、掌握Shell脚本编程，至少熟悉一种编程语言（Python/Java/Scala）；5、有常用数据分析工具的相关经验；6、熟悉presto、druid、kylin优先，有用户画像或大数据风控经验者优先；7、思路清晰，善于思考，有一定数据分析能力，能独立分析问题并推动解决问题。伯智科技是一家基于大数据技术的行业数字化建设服务商，协助企业进行数字化运营体系的搭建，追求数据价值的最大化。伯智科技核心团队来自于互联网、银行、保险与通信等行业，拥有近10年的数据化运营经验，曾服务于多家金融企业， 协助金融企业进行数字化运营体系的搭建。"
ETL工程师,北京,本科,1-3年,10,15K,免费零食地铁周边领导nice不打卡带薪年假免费零食地铁周边领导nice不打卡带薪年假免费零食地铁周边领导nice不打卡带薪年假,精通ETL，精通Hortonworks大数据平台，熟悉Informatica等工具牛
ETL开发工程师,北京,本科,1-3年,8,15K,,1、参与大数据平台研发工作，在大数据平台上进行ETL和报表开发；2、参与业务数据仓库和数据集市的建设；3、根据业务部门的需求，进行BI分析和报表开发。1、本科及以上学历，一年以上保险行业（寿险）数据开发经验；2、熟练编写数据库SQL脚本和存储过程；3、熟练使用Smart BI或Fine Report等报表工具；4、熟悉大数据平台Hadoop/Spark/MQ等技术优先；5、有Java开发经验者优先
ETL工程师,北京,本科,经验不限,12,20K,五险一金定期体检年终奖带薪年假餐补通讯补贴节日福利零食下午茶五险一金定期体检年终奖带薪年假餐补通讯补贴节日福利零食下午茶领导nice免费零食公司氛围好,1.负责数据仓库的架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案2.负责建立用户数据分析模型，发型用户行为模式与规律，为建立系统提供支持1.熟悉shell、python脚本编程，熟练linux平台开发环境2.熟练使用oracle、mysql、postgresql关系数据库中的至少一种3.熟悉数据仓库及ETL开发，熟练使用SQL语句5.熟悉hadoop大数据开发平台， 熟练使用hive，hbase，spark优先6.熟练使用mongo、redis优先7.有互联网工作经验者优先
ETL数据仓库工程师,北京,本科,3-5年,10,20K,,1.负责基于分布式平台的数据仓库研发，为公司数据分析、挖掘及用户画像等提供精准易用的高质量基础数据;2.负责设计ETL开发流程，底层模板代码编写，整体考虑ETL的性能、存储、调度等问题;3.负责核心复杂业务代码的设计和研发以及元数据管理工作;数据标准制定，数据规范化管理。1、学历及专业：本科及以上学历，计算机相关专业；2、工作及行业经验：数据仓库、BI、数据抽取等相关工作经验3年以上，具有电力行业从业背景优先；3、技能要求：具有丰富的数据仓库开发和理论经验(至少2年以上)，了解数据仓库数据分层结构，元数据管理，维度建模?，数据质量监控等；4、技能要求：熟悉Mysql，Oracle、Greenplum数据库体系架构，对于数据库原理有研究，精通SQL语言，熟练编写oracle存储过程，具有基于不同数据库的SQL调优能力；5、技能要求：精通日志采集、数据接收、ETL?、调度、数据仓库建模中的一种或多种；6、技能要求：熟练使用Hadoop、Hive、HBase等开源技术，有丰富的MR/UDF开发和代码设计经验；7、技能要求：掌握KETTLE、KAFKA等ETL及调度工具者优先；8、素质能力：要求具备较强的沟通协调能力、推动影响能力、系统思维能力、分析判断能力。
ETL工程师 - SSIS,北京,本科,1-3年,11,20K,五险一金年终奖带薪年假节日福利五险一金年终奖带薪年假节日福利,"熟悉SSIS的迁移工具熟悉sqlServer，数据库开发做过ETL项目具体描述如下：1.      Proficient in Data Integration from sources like MS Access, SQL server, Text Files, Excel to SQL server 2016/2019 using SQL Server Integration Services (SSIS).2.      Experience in creating complex stored procedures in SQL Server and User Define scalar Functions in SSIS packages and SQL scripts.3.      Experience in Design and implement of Data Integration and ETL processes with SSIS packages to make data available for reporting purpose within a data warehouse.4.      SSIS to create ETL packages to validate, extract, transform and load data to data warehouse databases, data mart databases.5.      Performance tuning of Stored Procedures and T-SQL Queries.6.      Collaborate with other teams within the organization and be able to devise the technical solution as it relates to the business & technical requirements, Maintain documentation for all processes implemented7.      Adhere to and suggest improvements to coding standards, best practices, and contribute to the improvement of these best practices8.      Solid knowledge on Data Warehouse concept, like Star schema, snow flake schema, Data Vault2.0, Dimension and Fact Table, Cube and so on.9.      Hands on experience with most of the commercial ETL tools, such as Talend, Informatica, Data Stage, Kettle and so on.10.   Knowledge on Python/R/Azure is plus.PS: All candidates should have at least 3 ~ 5 years SQL Server development experience:"
深度信息ETL架构师/工程师,北京,本科,3-5年,30,60K,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游免费班车餐补交通补助节日福利,1、负责多源数据的抓取/接入，抽取/转换，融合/装载，构建高德的深度数据生态；2、建立实时和离线大数据处理流程，结合算法模型进行静态和动态处理流程整合；3、深入发掘和分析业务需求，进行业务模型抽象，通过技术、平台减低POI深度数据生产效率，存储和计算成本。1、2年以上服务端开发经验，熟悉linux平台，精通c++/java，熟悉python，具有良好的编程习惯和算法基础；2、熟悉一种或者多种大数据生态技术（Flume，Kafka、Hbase、Spark、Storm、Hadoop、Flink等），熟悉源码者优先；3、有ETL系统开发等经验者优先；4、具备快速学习能力、沟通协调能力及团队精神 ，有较强的责任心和学习积极性。
大数据ETL工程师,北京,本科,3-5年,20,30K,,1.大数据相关业务数据提取、加载、转换处理2.利用大数据平台工具对数据维护3.负责相关项目的技术支持和服务1.三年以上大规模hadoop.spark数据处理经验2.熟悉常用ETL工具，sqoop.flume.scribe3.熟悉Kafka消息队列4.熟悉java.scala语言，熟悉shell.python脚本5.熟悉spark平台有相关实战经验者优先6.有hive仓库建模和bi开发经验优先
ETL工程师,北京,本科,1年以内,20,33K,五险一金补充医疗保险定期体检年终奖带薪年假节日福利五险一金补充医疗保险定期体检年终奖带薪年假节日福利,数据分析，清洗，数据平台建设
ETL工程师,北京,本科,3-5年,10,15K,,常规etl开发需求，帮助企业打通各大系统数据库
ETL工程师,北京,本科,3-5年,10,15K,五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴节日福利五险一金补充医疗保险定期体检年终奖带薪年假餐补通讯补贴节日福利,1、精通主流数据库（DB2、Oracle)的ETL开发经验；2、熟练掌握存储过程、perl、shell等脚本言语开发；3、熟练掌握AIX、LINUX等操作系统；4、具有ODS、DW等数据平台项目经验、基础模型开发者优先考虑；5、熟练掌握数据库SQL开发；6、良好的沟通能力，踏实稳重。7、全日制大学本科相关专业毕业或同等学历，4年以上（含4年）工作经验，3年以上金融行业相关经验。
大数据研发工程师,北京,本科,3-5年,15,30K,五险一金定期体检加班补助年终奖股票期权带薪年假通讯补贴零食下午茶五险一金定期体检加班补助年终奖股票期权带薪年假通讯补贴零食下午茶领导nice互联网金融扁平管理不打卡公司氛围好,高级大数据研发工程师工作职责：-负责海量数据项目的开发、推进和优化-负责数据仓库ETL流程的优化及解决ETL相关技术问题-模型训练平台的搭建与优化-2年以上大数据经验，计算机相关专业本科以上学历-熟练使用SQL语言，掌握java/python/shell 等语言中的至少1种-有大数据系统使用和开发经验，包括但不限于Hadoop/Spark/Hive/Hbase等-具有优秀的数据建模和沟通能力，能把应用问题转化为数据问题-具有2年及以上数据仓库建模和ETL架构设计，或大数据存储/计算架构经验-有金融领域模型的客户化，海量数据仓库架构经验者优先百度金融创始团队二次创业
大数据运维工程师,北京,本科,5-10年,15,30K,股票期权互联网金融公司氛围好移动互联网领导nice扁平管理美女如云股票期权互联网金融公司氛围好移动互联网领导nice扁平管理美女如云股票期权互联网金融公司氛围好移动互联网领导nice扁平管理美女如云,大数据Hadoop运维，开发工程师连续创业，大平台，高格局
数据开发,北京,本科,1年以内,12,14K,五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶,"大数据研发工程师（外包岗）工作职责：-?百度大搜索数据仓库模型设计与开发-?百度大搜索数据仓库ETL规则设计和开发，数据分析产品研发-?百度大搜索数据需求调研和需求分析，通过对数据的敏锐洞察,深入挖掘产品潜在价值和需求,进而提供更有价值的产品和服务,通过技术创新推动产品成长-本科或以上学历，计算机专业相关专业-熟练掌握计算机算法、数据结构相关专业知识，逻辑思维能力好-熟悉python/java/c/c++等一门语言，熟练使用sql-熟练掌握spark，熟悉scala语言-熟练掌握hadoop/等海量数据处理技术的优先-热爱互联网，对技术研究和应用抱有浓厚的兴趣，有强烈的上进心和求知欲，善于学习和运用新知识-较强的沟通能力和表达能力，具备良好的团队合作精神和主动沟通意识-熟悉海量数据处理、最优化算法、分布式计算或高性能并行计算，有相关项目优先考虑"
大数据研发工程师（外包岗）,北京,本科,经验不限,8,15K,五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶,大数据研发工程师（外包岗）工作职责：- 百度核心产品线数据集市、数据仓库的建设- 负责基于大数据的离线计算和实时流分析- 百度核心产品线数据仓库ETL规则设计和开发、数据建模- 百度数据需求分析，通过对数据的敏锐洞察，深入挖掘产品潜在价值- 通过数据分析支持产品决策，通过技术创新推动产品成长- 本科或以上学历，计算机专业相关专业优先- 熟练掌握python/scala/java/c++至少一门语言- 熟悉Hadoop/Storm/Spark/Hive/Hbase等   分布式开源项目及工作原理- 了解基本的数据仓库知识- 熟悉海量数据处理、对分布式有深刻理解，有实际开发经验优先- 有转正机会
【实习生】大数据研发岗,北京,硕士,经验不限,4,5K,五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶,大数据研发工程师（实习生）工作职责：- 百度核心产品线数据集市、数据仓库的建设- 负责基于大数据的离线计算和实时流分析- 百度核心产品线数据仓库ETL规则设计和开发、数据建模- 百度数据需求分析，通过对数据的敏锐洞察，深入挖掘产品潜在价值- 通过数据分析支持产品决策，通过技术创新推动产品成长- 研究生学历，20年毕业，计算机专业相关专业优先-计算机专业基础扎实- 熟练掌握python/scala/java/c++/c至少一门语言- 了解Hadoop/Storm/Spark/Hive/Hbase等优先- 熟悉海量数据处理有相关经验优先- 每周实习不少于4天，有转正机会
数据研发,北京,本科,1-3年,20,40K,五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶五险一金定期体检带薪年假免费班车餐补节日福利零食下午茶,大数据研发工程师工作职责：- 百度核心产品线数据集市、数据仓库的建设- 负责基于大数据的离线计算和实时流分析- 百度核心产品线数据仓库ETL规则设计和开发、数据建模- 百度数据需求分析，通过对数据的敏锐洞察，深入挖掘产品潜在价值- 通过数据分析支持产品决策，通过技术创新推动产品成长- 本科或以上学历，计算机专业相关专业优先- 熟练掌握python/scala/java至少一门语言- 熟悉Hadoop/Storm/Spark/Hive/Hbase等   分布式开源项目及工作原理- 了解基本的数据仓库知识- 熟悉海量数据处理、对分布式有深刻理解，有实际开发经验
数据开发,北京,本科,5-10年,20,40K,五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利股票期权年终分红地铁周边领导nice智能硬件公司氛围好,数据仓库开发岗(Oracle方向ETL开发工程师)工作内容/职位描述：1. 负责数据仓库和数据集市模型的设计，整理相关文档并制定实现方案；2. 负责数据模型的具体落地实现和后续优化；3. 负责数据抽取、转换、加载脚本的开发与测试；4. 负责ETL任务的调度设计、配置和优化。1. 本科及以上学历，具有英语四级及其以上证书。计算机、软件工程等相关专业毕业，本科5年/硕士4年工作经验以上；2. 熟悉oracle，熟悉pl/sql编程，有3年及以上procedure/package开发经验；3. 熟悉Control-M等调度工具；4. 熟悉数据仓库实施方法论；5. 有大数据Hadoop、Hive、MongoDB等及AI人工智能相关经验优先；6. 有供应链行业业务背景优先，熟悉供应链物流、订单、仓储、采购核心系统及数据者优先；7. 较强的沟通能力、团队协作和责任心。
数据仓库开发,北京,本科,5-10年,20,40K,五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利股票期权年终分红地铁周边领导nice智能硬件公司氛围好,数据仓库开发岗(Oracle方向ETL开发工程师)工作内容/职位描述：1. 负责数据仓库和数据集市模型的设计，整理相关文档并制定实现方案；2. 负责数据模型的具体落地实现和后续优化；3. 负责数据抽取、转换、加载脚本的开发与测试；4. 负责ETL任务的调度设计、配置和优化。1. 本科及以上学历，具有英语四级及其以上证书。计算机、软件工程等相关专业毕业，本科5年/硕士4年工作经验以上；2. 熟悉oracle，熟悉pl/sql编程，有3年及以上procedure/package开发经验；3. 熟悉Control-M等调度工具；4. 熟悉数据仓库实施方法论；5. 有大数据Hadoop、Hive、MongoDB等及AI人工智能相关经验优先；6. 有供应链行业业务背景优先，熟悉供应链物流、订单、仓储、采购核心系统及数据者优先；7. 较强的沟通能力、团队协作和责任心。
数据仓库高级工程师,北京,本科,1-3年,18,30K,五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利五险一金年终奖股票期权带薪年假通讯补贴交通补助节日福利年终分红美女如云扁平管理地铁周边领导nice移动互联网电子商务,1.  负责数据仓库基础平台的建设、设计、优化和落地；2.  负责数据仓库ETL流程的优化及解决ETL相关的技术问题和主题数据开发；3.  理解并合理抽象不同业务需求，做较通用和系统性的数据模型设计开发；1.  至少2年企业级数据仓库建设经验，熟悉数据仓库建模理论和方法；2.  精通Java或Python，熟悉Linux开发环境3.  有ETL开发经验，熟悉Hadoop/Hive/Spark/Storm/Kylin等大数据技术；4.  具备较强的数据分析能力、逻辑思维能力、执行能力；
数据仓库工程师,北京,本科,3-5年,15,30K,五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补五险一金补充医疗保险定期体检年终奖股票期权带薪年假餐补移动互联网年终分红年度旅游领导nice地铁周边互联网金融公司氛围好扁平管理,"1.负责数据采集、清洗、转换和集成（ETL）和数据治理，解决数据处理流程中的问题2.分析保险业务数据，发现并解决数据质量问题1.本科及以上学历，3年以上数据仓库开发经验2.熟悉一种以上主流关系数据库，精通SQL，熟悉SQL性能优化3.有丰富的数据仓库系统工作经验，熟练运用ETL开发工具和BI展现工具4.熟练掌握Linux/Unix开发，shell scripting或者Python5.具有丰富的数据清洗经验6.具有快速学习，掌握新知识的能力7.具备优秀的分析解决问题能力、沟通能力和团队合作意识8.具有BI分析报表经验优先9.具有Spark, Hive等大数据经验优先力码科技是一家致力于整合保险行业供应链、提供保险销售及管理工具的互联网公司。公司研发的基于云计算和大数据的“力码云”SaaS保险平台，具有开箱即用、性价比高、安全、功能丰富等特点。公司核心人员来自业界顶尖数据团队，欢迎敢于挑战的你和来自百度大搜、IBM（加拿大）的数据大咖一起搞数据。"
高级数据仓库工程师,北京,本科,3-5年,20,40K,五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利五险一金补充医疗保险定期体检全勤奖年终奖带薪年假餐补节日福利商业保险不定期培训购房福利公司氛围好免费零食美女如云,1、负责教育用户的数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；2、负责分析和解释产品试验，市场运营活动等结果，为产品改进，推广等提供数据支持；3、负责建立用户数据分析模型，针对用户行为进行数据监控和统计，发现用户行为模式与规律，为改进推荐系统提供支持。1、热爱计算机科学和互联网技术，乐于快速学习和尝试新技术、新工具；2、具备强悍的编码能力，熟练使用 SQL，熟悉 Python或R语言的优先；3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；4、熟悉至少一项分布式计算平台，例如Hadoop，Spark，Hive，Storm，Kafka 等；5、有参与开源项目对社区有贡献的经历，有大数据处理或用户行为数据分析经验者优先。
数据仓库工程师,北京,本科,5-10年,25,50K,五险一金定期体检年终奖股票期权带薪年假员工旅游节日福利零食下午茶晋升空间大办公环境好五险一金定期体检年终奖股票期权带薪年假员工旅游节日福利零食下午茶晋升空间大办公环境好,1. 负责58到家业务核心数据仓库开发工作（业务梳理、宽表建模、数据治理），实现高质量数据的互通与共享2. 负责商业智能数据报表，参与数据产品与应用的数据研发，发掘数据商业价值3.业务实时数据的处理和统计，提供高质量数据接口1. 扎实的数据仓库理论基础，熟悉数据仓库模型设计，应用层建设有实践经验2. 熟悉仓库建设相关的技术栈，例如：SQL，Hive，Hadoop/Spark，Flume，Kafaka等3. 掌握数据库开发技术，具备海量数据加工处理（ETL）相关经验，有数据库建模经验，灵活运用SQL实现数据ETL加工处理4. 具备代码开发能力，熟练掌握Java、Scala、Python等至少1种语言5. 有互联网行业数据仓库经验者优先」6、  熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台；7、有搜索、广告、推荐、运力调度算法相关经验者优先
数据仓库架构师,北京,本科,5-10年,40,70K,,1、负责数据仓库和数据中台建设，支持部门级的BI与统计应用在业务场景上的落地，包括但不限于部门数据仓库的建设、埋点采集、统计应用、数据在业务中的场景挖掘、基础工具与流程建设等；2、参与数据治理工作，提升数据易用性及数据质量；3、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作；4、负责内部数据分析产品研发5、对大数据和机器学习相关的前沿技术进行预研，负责大数据平台技术框架的选型和技术难点公关；1、本科以上学历，5年以上大数据平台架构经验；2、负责过大型数据平台或者数据仓库设计，具有扎实的大数据和数据仓库的理论功底；3、熟练掌握java或scala开发语言，熟悉springMVC、MyBatis架构；熟悉Linux开发环境，了解shell、python等脚本语言开发；有jvm调优经验者优先；4、对Hadoop的大数据体系有深入认识，对Hadoop/Hive/Hbase/Kafka/Spark/Flume/Flink/Azkaban /Zookeeper/ES/Solar/Storm等有实际应用研发经验，读过关键源码为佳；5、熟练使用统计型SQL，有较好的数据模型设计能力，理解Hive/Mysql基本原理和调优策略；6/具备一定的算法知识，有机器学习、数据统计分析、后端工程经验者优先；
数据仓库资深工程师,北京,本科,5-10年,15,30K,五险一金补充医疗保险定期体检年终奖股票期权带薪年假免费班车餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖股票期权带薪年假免费班车餐补节日福利零食下午茶,工资面议主要负责金融行业数据仓库项目的建模工作。1.?计算机、软件工程等相关专业，统招大学本科及以上学历；2.?7年以上数据仓库行业从业工作经验，至少有3年以上银行数据仓库模型师从业经验；3.?精通数据仓库理论，精通主流的数据仓库数据模型设计，具有丰富的数据仓库数据模型架构和设计项目经验；4.?熟悉主流数据库Oracle、DB2、SQL Server、mysql等数据库中一种；熟练使用erwin、powerdesigner等建模工具；5.?具备优秀的表达能力和沟通协调能力，能够统筹全局，具备较强的分析问题和解决问题的能力，有良好的团队协作意识；6.?能出差；7.?工作地点：北京。
数据仓库,北京,本科,1-3年,13,25K,五险一金补充医疗保险加班补助全勤奖带薪年假员工旅游五险一金补充医疗保险加班补助全勤奖带薪年假员工旅游,1、分主题建设数据仓库；2、为上层业务提供数据服务；3、基于海量数据，对用户和商户进行画像模型设计;1、统招本科及以上学历，计算机相关专业;2、熟悉数据仓库建模理论，了解数据仓库数据分层架构、多维数据模型设计，有2年以上的实际工作经验;3、熟悉Hadoop / Spark / Hive ，熟练掌握HQL，有HIVE、Spark Sql使用经验者优先;4、熟悉Linux开发环境，熟悉至少1种脚本语言(Python / Awk等);5、优秀的逻辑思维能 、业务需求分析能力和执行力，较好的沟通能力;
资深数据仓库工程师,北京,本科,5-10年,25,30K,五险一金补充医疗保险年终奖带薪年假节日福利五险一金补充医疗保险年终奖带薪年假节日福利免费三餐互联网金融牛人团队不打卡扁平管理,工作职责:1、负责业务相关数据需求以及报表的开发；2、负责将产品和运营的需求，转化成数据模型，并生成报表数据；3、参与企业数据仓库架构设计与数据开发；1、熟悉数据仓库各类模型建模理论；2、具有数据仓库模型设计、ETL相关工作经验；3、熟悉hive、MySQL、Postgresql、Oracle、Greenplum等至少一种主流数据库技术，有较好的SQL开发能力；4、精通SQL，有较好的SQL性能调优经验；5、快速的业务学习能力和良好的逻辑分析能力，具有良好的数据理解能力和数据敏感性；6、计算机相关基础知识扎实，对解决技术难点有热情，能独立解决问题；7、有3个以上DW/BI项目设计和开发经验者优先；8、熟练掌握tableau报表开发，优先考虑；这是一个年轻充满激情与无限可能的团队。
