education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,应届生,五险一金定期体检年终奖节日福利项目经理补贴出差补助五险一金定期体检年终奖节日福利项目经理补贴出差补助公司氛围好移动互联网扁平管理美女如云地铁周边带薪休假,3,6K,初级Java开发工程师（全职实习生、应届生）,北京,"1、根据开发方案，完成负责模块的程序开发及测试工作；2、参与需求分析、功能设计、详细设计、测试、更新等工作；3、参与公司系统维护以及优化工作；4、工作范围：人力资源、财务管理、项目管理、档案管理、内容管理等企业办公所需系统。1、全日制本科及以上学历，2019年毕业生（可接受全职实习）；2、计算机相关专业；3、熟练使用Java语言,了解Spring MVC，MyBatis，jQuery，activiti等相关技术；4、熟练使用oracle或mysql数据库，熟练使用SQL语句；5、具备良好的面向对象思维,逻辑能力佳；6、具有较强的团队意识、善于学习和总结分析。这是一支富有朝气的团队，只要你敢于挑战，我会给你一个平台让你施展。"
硕士,经验不限,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利领导nice移动广告移动互联网分布式微服务业务范围广技术氛围浓高并发场景,4,6K,Java开发实习生,北京,1.负责广告平台的开发工作；2.持续改进系统架构、核心技术等，保证系统高性能、高可用性和高可扩展。1.重点高校计算机或相关专业硕士及以上学历，2020届；2.对数据结构和算法设计有一定理解；熟悉Java编程，熟悉Spring、Mybatis等Java常用开源框架、设计模式及并发编程；3.熟悉MySQL数据库，理解数据库的基本理论和内部实现机制；4.熟练运用Spring/Hibernate/Mybatis等常用框架；熟练使用Eclipse/Maven/SVN等软件开发工具；5.学习能力、逻辑思维能力强，对技术充满热情，有较强的沟通交流和团队协作能力。
大专,应届生,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游,3,4K,JAVA实习生,北京,"1.参与项目需求分析和设计；2.负责项目的后台开发及维护；3.负责开发文档的编写、维护和规范。1.Java基础扎实，良好的代码风格，熟悉J2EE规范，熟悉常用设计模式，对面向对象、领域驱动开发有一定的经验；2.熟练使用开源技术以及框架（spring、mybatis等）；3.熟练使用MySQL数据库；4.熟悉Linux环境以及操作，SVN、Maven的使用，熟悉Apache，Nginx等开源的服务器； 熟练使用dubbo、zookeeper分布式；5.能够及时关注业界最新技术动态和发展方向，能够独立研究并乐于分享技术,同时，要有强烈的责任心、主动性和团队合作精神；6.有Web开发和性能调优经验经验者优先。"
本科,经验不限,五险一金定期体检年终奖带薪年假五险一金定期体检年终奖带薪年假,6,9K,Java开发实习生,北京,"团队牛人多，机会多，成长空间大，工作挑战大1.负责soul推荐后台系统的开发与维护；1、 熟悉OO思想，具备扎实的抽象编程、设计能力,熟练使用Java/go至少一种语言；2、了解主流java后端框架，如Spring等；3、熟悉Redis,mysql中的一种或多种的日常开发使用；4、有一定Hadoop/Hive/Hbase/Spark经验或相关实践经历着优先；6、具有分布式服务/微服务架构下系统开发的经验的优先；"
本科,应届生,补充医疗保险定期体检年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利住房补贴零食下午茶补充医疗保险补充医疗保险定期体检年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利住房补贴零食下午茶补充医疗保险,3,5K,Java开发实习生,北京,1、参与数据中台产品，AI产品，营销系统，反欺诈系统的研发1、计算机相关专业，本科大三大四或者研究生研二以上。2、软件开发基础扎实，熟悉Java语言，熟悉常用算法和数据结构，有实际编程经验，最好有过相关项目经验；3、头脑灵活，善思好学，主动积极；4、一周能工作不少于三天，连续实习时间不少于4个月；
本科,应届生,五险一金定期体检年终奖股票期权带薪年假节日福利保险五险一金定期体检年终奖股票期权带薪年假节日福利保险,10,15K,阿里巴巴2020毕业实习生招聘-北京,北京,"限制毕业起止时间:	2019-11-01~2020-10-31工作地点:	杭州市,北京市,上海市,成都市,广州市,深圳市,南京市,无锡市学历要求:	本科及以上如果你想了解JAVA开发在阿里巴巴互联网生态系统中无与伦比的应用广度与深度； 如果你对基础技术感兴趣，你可以参与基础软件的设计、开发和维护，如分布式文件系统、缓存系统、Key/Value存储系统、数据库、Linux操作系统和Java优化等； 如果你热衷于高性能分布式技术，你可以参与高性能分布式服务端程序的系统设计，为阿里巴巴的产品提供强有力的后台支持，在海量的网络访问和数据处理中，设计并设施最强大的解决方案； 如果你喜欢研究搜索技术，你可以参与搜索引擎各个功能模块的设计和实现，构建高可靠性、高可用性、高可扩展性的体系结构，满足日趋复杂的业务需求； 如果你对电子商务产品技术感兴趣，你可以参与产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作； 如果你对数据敏感，你可以参与海量数据处理和开发，通过sql、pl/sql、java进行etl程序开发，满足商业上对数据的开发需求； 如果你热衷于客户端开发，你可以参与为用户提供丰富而有价值的桌面或无线软件产品。或许，你来自计算机专业，机械专业，甚至可能是学生物的； 但是，你酷爱着计算机以及互联网技术，热衷于解决挑战性的问题，追求极致的用户体验； 或许，你痴迷于数据结构和算法，热衷于ACM，常常为看到“accept”而兴奋的手足舞蹈； 或许，你熟悉Unix/Linux/Win32环境下编程，并有相关开发经验，熟练使用调试工具，并熟悉Perl，Python，shell等脚本语言； 或许，你熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有很深的理解，并了解XML和HTML语言； 或许，你热衷于数据库技术，能够熟练编写SQL脚本，有MySql或Oracle应用开发经验； 或许，你并不熟悉Java编程语言，更精通C，C++，PHP，.NET等编程语言中的一种或几种，但你有良好和快速的学习能力； 有可能，你参加过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等； 也有可能，你在学校的时候作为骨干参与学生网站的建设和开发； 这些，都是我们想要的。来吧，加入我们！"
本科,经验不限,地铁周边领导nice年终分红公司氛围好股票期权不打卡移动互联网扁平管理地铁周边领导nice年终分红公司氛围好股票期权不打卡移动互联网扁平管理地铁周边领导nice年终分红公司氛围好股票期权不打卡移动互联网扁平管理,4,7K,Java工程师实习生,北京,"只招在2020届的本科毕业的实习生1、计算机、软件、网络、电子、通信、数学、信息安4、熟悉java开发,了解基本的java开发框架如全等理工科计算机相关专业本科及以上学历;3、熟练使用Java语言进行编程,熟悉J2EE规范,熟悉常5、了解基于Mysql的数据库设计与开发,会使用用2、初级岗位,只接受应往届毕业生或未毕业学生;用设计模式；springboot或者springMVC;mysql的增删改查6、能够使用简单的linux命令;7、学习能力强,具有较强的沟通技能及团队合作能力;亲爱的你，来到北京不就是为了搏一把吗？我们是“火箭程序猿”，创业企业的共享研发部，为客户提供全方位IT解决方案。如果你年轻、勤奋、有梦想，想短时间熟悉大批商业模式、与高手过招，飞速成长，那么欢迎你来！"
3个月,3天/周,,150,200/天,后端实习生,北京,1. 2020年毕业生，计算机、数学或信息统计等相关专业本科及以上学历；2.有过视频、数据抓取、搜索引擎经验，3.具有机器学习/数据挖掘理论和技术基础，具有海量数据处理经验者优先；4.熟悉一种及以上的编程语言，如java、php、python，熟悉JAVA优先，有统计基础优先；5.	良好的逻辑思维能力；6.	优秀的学习能力，分析和解决问题的能力和强烈的进取心；7.	诚恳、踏实，对技术和工作充满热情；8.	具备良好的沟通能力和团队合作精神。该职位要求擅长java，请注意。该职位只招收统招、全日制大学2020届以及之后的在校生，请知晓。网教、成考、自考等不符条件者，一概不予回复。
本科,经验不限,扁平管理公司氛围好领导nice扁平管理公司氛围好领导nice扁平管理公司氛围好领导nice,3,4K,Java实习生,北京,"该角色将为软件平台提供关键任务技术和在线服务。软件工程师负责开发和实施集成在公共和私有云架构中的高度复杂的松散耦合软件组件和微服务。该职位负责处理各种范围和复杂性中等的技术问题。开发人员将作为 devops 环境的成员, 支持在线服务开发和服务。在指定项目团队的技术领导的指导下与同行合作。主要任务和责任·一致和全面地应用体系结构和设计原则, 以实现目标端到端使用方案·作为在团队环境中工作的成员, 您将与解决方案架构师和开发人员合作, 将线框和创意设计解释为功能需求, 并随后转化为技术设计·作为我们移动服务开发人员的成员, 您需要了解大数据体系结构和框架, 还可以支持我们的机器学习、数据挖掘算法投入生产·内部优化, 实现可扩展性, 并使开发团队能够快速运行很好地关注 devops 用例和工作流。与 scrum 团队和产品管理部门合作, 优化需求, 了解我们将如何满足系统的更广泛属性, 并帮助设计高效、灵活、高度可扩展和可扩展的服务。技术/专业技能·移动应用、云和大数据平台相关开发技能·强大的核心 java & j2ee, html5, javascript 技能·在弹簧框架, 弹簧启动和微服务的经验·拥有大规模的站点服务平台经验, 能够处理大量的服务访问, 熟悉缓存、db 优化和架构设计·熟悉微服务框架 (如弹簧云、容器、devoops 工具链), 通过微服务架构引领我们的服务产品的开发, 以支持 ha、自动可扩展性和高扩展性·熟悉集装箱技术和适应服务产品与集装箱环境·可以支持业务部门将业务分解为微服务·实践操作能力和概念思维能力"
学历不限,经验不限,,3,4K,java实习生,北京,1.会写java 代码2.会javascript3.jsp，sql是必须的4.分配的工作能够独立完成，有强烈的学习欲望
